#separator:comma
#html:true
#notetype:Basic
#deck:Spanish::08 Futuro simple
#columns:Front,Back,Tags
#tags column:3
"How is the <b>futuro simple</b> formed?","<b>Whole infinitive</b> + é · ás · á · emos · éis · án<br><br>One set for all three conjugations. Accents on every form <b>except nosotros</b>.","futuro-simple formation"
"<b>You'll tidy</b> your rooms before you go out, and that's that.<br><i>Futuro simple</i><br><span style='font-size:80%'>(ordenar · vosotros)</span>","<b>Ordenaréis</b> vuestras habitaciones antes de salir, y punto.<br><span style='font-size:85%'>ordenar — to tidy · vosotros · <i>emphatic command</i></span>","futuro-simple regular en-es use-command"
"Las obras del metro <b>empezarán</b> el próximo lunes.<br><i>Futuro simple</i>","Work on the metro <b>will start</b> next Monday.<br><span style='font-size:85%'>empezar — to start · ellas · <i>future event: formal register / announcement</i></span>","futuro-simple regular es-en use-formal"
"(They're not answering) <b>They'll be</b> having dinner at this time.<br><i>Futuro simple</i><br><span style='font-size:80%'>(estar · ellos)</span>","A esta hora <b>estarán</b> cenando.<br><span style='font-size:85%'>estar — to be · ellos · <i>conjecture / probability (not about the future)</i></span>","futuro-simple regular en-es use-conjecture"
"Te <b>devolveré</b> el dinero el viernes, de verdad.<br><i>Futuro simple</i>","<b>I'll pay</b> you back on Friday, honestly.<br><span style='font-size:85%'>devolver — to give back · yo · <i>promise / resolution</i></span>","futuro-simple regular es-en use-promise"
"This year <b>I'll read</b> more and spend less time on my phone.<br><i>Futuro simple</i><br><span style='font-size:80%'>(leer · yo)</span>","Este año <b>leeré</b> más y pasaré menos tiempo con el móvil.<br><span style='font-size:85%'>leer — to read · yo · <i>promise / resolution</i></span>","futuro-simple regular en-es use-promise"
"Ya <b>verás</b> como todo sale bien.<br><i>Futuro simple</i>","<b>You'll see</b>, everything will turn out fine.<br><span style='font-size:85%'>ver — to see · tú · <i>prediction</i></span>","futuro-simple regular es-en use-prediction"
"If you run, <b>you'll still catch</b> the bus.<br><i>Futuro simple</i><br><span style='font-size:80%'>(coger · tú)</span>","Si corres, todavía <b>cogerás</b> el autobús.<br><span style='font-size:85%'>coger — to catch · tú · <i>result of si + present indicative</i></span>","futuro-simple regular en-es use-si"
"Según el pronóstico, mañana <b>lloverá</b> en todo el norte.<br><i>Futuro simple</i>","According to the forecast, <b>it will rain</b> across the north tomorrow.<br><span style='font-size:85%'>llover — to rain · impersonal · <i>prediction</i></span>","futuro-simple regular es-en use-prediction"
"(Doorbell rings) <b>That'll be</b> the postman; he always comes at this time.<br><i>Futuro simple</i><br><span style='font-size:80%'>(ser · él)</span>","<b>Será</b> el cartero, que siempre viene a esta hora.<br><span style='font-size:85%'>ser — to be · él · <i>conjecture / probability (not about the future)</i></span>","futuro-simple regular en-es use-conjecture"
"Cuando lleguemos a casa, <b>comeremos</b> algo rápido.<br><i>Futuro simple</i>","When we get home, <b>we'll have</b> something quick to eat.<br><span style='font-size:85%'>comer — to eat · nosotros · <i>main clause after cuando / en cuanto + subjunctive</i></span>","futuro-simple regular es-en use-cuando"
"(Company email) <b>We will respond</b> to your enquiry within 48 hours.<br><i>Futuro simple</i><br><span style='font-size:80%'>(responder · nosotros)</span>","<b>Responderemos</b> a su consulta en un plazo de 48 horas.<br><span style='font-size:85%'>responder — to reply · nosotros · <i>future event: formal register / announcement</i></span>","futuro-simple regular en-es use-formal"
"Si no os dais prisa, <b>perderéis</b> el tren.<br><i>Futuro simple</i>","If you guys don't hurry up, <b>you'll miss</b> the train.<br><span style='font-size:85%'>perder — to miss, to lose · vosotros · <i>result of si + present indicative</i></span>","futuro-simple regular es-en use-si"
"<b>You two must be</b> Laura's cousins, right?<br><i>Futuro simple</i><br><span style='font-size:80%'>(ser · vosotros)</span>","Vosotros <b>seréis</b> los primos de Laura, ¿no?<br><span style='font-size:85%'>ser — to be · vosotros · <i>conjecture / probability (not about the future)</i></span>","futuro-simple regular en-es use-conjecture"
"Los pasajeros <b>deberán</b> presentar el DNI en la puerta de embarque.<br><i>Futuro simple</i>","Passengers <b>will be required</b> to show their ID at the boarding gate.<br><span style='font-size:85%'>deber — must, to have to · ellos · <i>future event: formal register / announcement</i></span>","futuro-simple regular es-en use-formal"
"My parents <b>will never understand</b> it.<br><i>Futuro simple</i><br><span style='font-size:80%'>(entender · ellos)</span>","Mis padres nunca lo <b>entenderán</b>.<br><span style='font-size:85%'>entender — to understand · ellos · <i>prediction</i></span>","futuro-simple regular en-es use-prediction"
"Te <b>escribiré</b> todos los días, te lo prometo.<br><i>Futuro simple</i>","<b>I'll write</b> to you every day, I promise.<br><span style='font-size:85%'>escribir — to write · yo · <i>promise / resolution</i></span>","futuro-simple regular es-en use-promise"
"When I retire, <b>I'll live</b> by the sea.<br><i>Futuro simple</i><br><span style='font-size:80%'>(vivir · yo)</span>","Cuando me jubile, <b>viviré</b> junto al mar.<br><span style='font-size:85%'>vivir — to live · yo · <i>main clause after cuando / en cuanto + subjunctive</i></span>","futuro-simple regular en-es use-cuando"
"Si no vas, te <b>arrepentirás</b>.<br><i>Futuro simple</i>","If you don't go, <b>you'll regret</b> it.<br><span style='font-size:85%'>arrepentirse — to regret · tú · <i>result of si + present indicative</i></span>","futuro-simple regular es-en use-si"
"Tonight <b>you will go</b> to bed at nine, and that's final.<br><i>Futuro simple</i><br><span style='font-size:80%'>(irse · tú)</span>","Hoy te <b>irás</b> a la cama a las nueve, y no hay más que hablar.<br><span style='font-size:85%'>irse — to go (off) · tú · <i>emphatic command</i></span>","futuro-simple regular en-es use-command"
"El presidente <b>asistirá</b> mañana a la inauguración.<br><i>Futuro simple</i>","The president <b>will attend</b> the opening tomorrow.<br><span style='font-size:85%'>asistir — to attend · él · <i>future event: formal register / announcement</i></span>","futuro-simple regular es-en use-formal"
"<b>She must still be</b> angry with me, because she isn't answering.<br><i>Futuro simple</i><br><span style='font-size:80%'>(seguir · ella)</span>","<b>Seguirá</b> enfadada conmigo, porque no me contesta.<br><span style='font-size:85%'>seguir — to still be, to carry on · ella · <i>conjecture / probability (not about the future)</i></span>","futuro-simple regular en-es use-conjecture"
"<b>Abriremos</b> de nuevo el 1 de septiembre. Disculpen las molestias.<br><i>Futuro simple</i>","(Shop sign) <b>We will reopen</b> on 1 September. Sorry for any inconvenience.<br><span style='font-size:85%'>abrir — to open · nosotros · <i>future event: formal register / announcement</i></span>","futuro-simple regular es-en use-formal"
"If we win the lottery, <b>we'll split</b> it equally.<br><i>Futuro simple</i><br><span style='font-size:80%'>(repartir · nosotros)</span>","Si nos toca la lotería, lo <b>repartiremos</b> a partes iguales.<br><span style='font-size:85%'>repartir — to split, to share out · nosotros · <i>result of si + present indicative</i></span>","futuro-simple regular en-es use-si"
"Ya veréis: os <b>divertiréis</b> un montón en el campamento.<br><i>Futuro simple</i>","You'll see: <b>you guys will have</b> loads of fun at camp.<br><span style='font-size:85%'>divertirse — to have fun · vosotros · <i>prediction</i></span>","futuro-simple regular es-en use-prediction"
"When you guys make the booking, <b>you'll get</b> a confirmation email.<br><i>Futuro simple</i><br><span style='font-size:80%'>(recibir · vosotros)</span>","Cuando hagáis la reserva, <b>recibiréis</b> un correo de confirmación.<br><span style='font-size:85%'>recibir — to receive · vosotros · <i>main clause after cuando / en cuanto + subjunctive</i></span>","futuro-simple regular en-es use-cuando"
"Los precios <b>subirán</b> otra vez el año que viene, ya verás.<br><i>Futuro simple</i>","Prices <b>will go up</b> again next year, you'll see.<br><span style='font-size:85%'>subir — to go up · ellos · <i>prediction</i></span>","futuro-simple regular es-en use-prediction"
"Your parents <b>probably prefer</b> you to stay close by, right?<br><i>Futuro simple</i><br><span style='font-size:80%'>(preferir · ellos)</span>","Tus padres <b>preferirán</b> que te quedes cerca, ¿no?<br><span style='font-size:85%'>preferir — to prefer · ellos · <i>conjecture / probability (not about the future)</i></span>","futuro-simple regular en-es use-conjecture"
"<b>Tendré</b> más cuidado la próxima vez, te lo prometo.<br><i>Futuro simple</i>","<b>I'll be</b> more careful next time, I promise.<br><span style='font-size:85%'>tener — to have · yo · <i>promise / resolution</i></span>","futuro-simple irregular es-en use-promise"
"If I'm lucky, <b>I'll have</b> the report ready by Friday.<br><i>Futuro simple</i><br><span style='font-size:80%'>(tener · yo)</span>","Si tengo suerte, <b>tendré</b> el informe listo para el viernes.<br><span style='font-size:85%'>tener — to have · yo · <i>result of si + present indicative</i></span>","futuro-simple irregular en-es use-si"
"<b>Tendrás</b> hambre, ¿no? Siéntate, que ya está la comida.<br><i>Futuro simple</i>","<b>You must be</b> hungry, right? Sit down, lunch is ready.<br><span style='font-size:85%'>tener — to have · tú · <i>conjecture / probability (not about the future)</i></span>","futuro-simple irregular es-en use-conjecture"
"When you're older, <b>you'll have</b> your own room.<br><i>Futuro simple</i><br><span style='font-size:80%'>(tener · tú)</span>","Cuando seas mayor, <b>tendrás</b> tu propia habitación.<br><span style='font-size:85%'>tener — to have · tú · <i>main clause after cuando / en cuanto + subjunctive</i></span>","futuro-simple irregular en-es use-cuando"
"El nuevo jefe <b>tendrá</b> unos cuarenta años.<br><i>Futuro simple</i>","The new boss <b>must be</b> about forty.<br><span style='font-size:85%'>tener — to have · él · <i>conjecture / probability (not about the future)</i></span>","futuro-simple irregular es-en use-conjecture"
"The meeting <b>will take</b> place in room 3.<br><i>Futuro simple</i><br><span style='font-size:80%'>(tener · ella)</span>","La reunión <b>tendrá</b> lugar en la sala 3.<br><span style='font-size:85%'>tener — to have (tener lugar: to take place) · ella · <i>future event: formal register / announcement</i></span>","futuro-simple irregular en-es use-formal"
"Este invierno <b>tendremos</b> que apretarnos el cinturón.<br><i>Futuro simple</i>","This winter <b>we'll have</b> to tighten our belts.<br><span style='font-size:85%'>tener — to have · nosotros · <i>prediction</i></span>","futuro-simple irregular es-en use-prediction"
"When the baby's born, <b>we'll have</b> less time to go out.<br><i>Futuro simple</i><br><span style='font-size:80%'>(tener · nosotros)</span>","Cuando nazca el bebé, <b>tendremos</b> menos tiempo para salir.<br><span style='font-size:85%'>tener — to have · nosotros · <i>main clause after cuando / en cuanto + subjunctive</i></span>","futuro-simple irregular en-es use-cuando"
"<b>Tendréis</b> sed después del partido, ¿no?<br><i>Futuro simple</i>","<b>You guys must be</b> thirsty after the match, right?<br><span style='font-size:85%'>tener — to have · vosotros · <i>conjecture / probability (not about the future)</i></span>","futuro-simple irregular es-en use-conjecture"
"If you guys don't book now, <b>you won't get</b> a table.<br><i>Futuro simple</i><br><span style='font-size:80%'>(tener · vosotros)</span>","Si no reserváis ya, no <b>tendréis</b> mesa.<br><span style='font-size:85%'>tener — to have · vosotros · <i>result of si + present indicative</i></span>","futuro-simple irregular en-es use-si"
"Los interesados <b>tendrán</b> que rellenar un formulario en línea.<br><i>Futuro simple</i>","Applicants <b>will have</b> to fill in an online form.<br><span style='font-size:85%'>tener — to have · ellos · <i>future event: formal register / announcement</i></span>","futuro-simple irregular es-en use-formal"
"<b>They must have</b> loads of money, with a house like that.<br><i>Futuro simple</i><br><span style='font-size:80%'>(tener · ellos)</span>","<b>Tendrán</b> muchísimo dinero, con una casa así.<br><span style='font-size:85%'>tener — to have · ellos · <i>conjecture / probability (not about the future)</i></span>","futuro-simple irregular en-es use-conjecture"
"Tranquila, <b>pondré</b> la lavadora antes de irme.<br><i>Futuro simple</i>","Don't worry, <b>I'll put</b> the washing on before I go.<br><span style='font-size:85%'>poner — to put · yo · <i>promise / resolution</i></span>","futuro-simple irregular es-en use-promise"
"When I get home, <b>I'll put</b> the heating on.<br><i>Futuro simple</i><br><span style='font-size:80%'>(poner · yo)</span>","Cuando llegue a casa, <b>pondré</b> la calefacción.<br><span style='font-size:85%'>poner — to put · yo · <i>main clause after cuando / en cuanto + subjunctive</i></span>","futuro-simple irregular en-es use-cuando"
"Te <b>pondrás</b> el abrigo, que hace mucho frío, y no se hable más.<br><i>Futuro simple</i>","<b>You'll put</b> your coat on, because it's freezing, and that's the end of it.<br><span style='font-size:85%'>ponerse — to put on (clothes) · tú · <i>emphatic command</i></span>","futuro-simple irregular es-en use-command"
"If you keep shouting, <b>you'll make</b> the baby jumpy.<br><i>Futuro simple</i><br><span style='font-size:80%'>(poner · tú)</span>","Si sigues gritando, <b>pondrás</b> nervioso al bebé.<br><span style='font-size:85%'>poner — to make (+ adjective) · tú · <i>result of si + present indicative</i></span>","futuro-simple irregular en-es use-si"
"Seguro que el profe nos <b>pondrá</b> un examen sorpresa.<br><i>Futuro simple</i>","I bet the teacher <b>will give</b> us a surprise test.<br><span style='font-size:85%'>poner — to put; to set (an exam) · él · <i>prediction</i></span>","futuro-simple irregular es-en use-prediction"
"What <b>does</b> the label <b>say</b>, I wonder? I can't see a thing without my glasses.<br><i>Futuro simple</i><br><span style='font-size:80%'>(poner · él)</span>","¿Qué <b>pondrá</b> en la etiqueta? No veo nada sin gafas.<br><span style='font-size:85%'>poner — to say (of a text) · él · <i>conjecture / probability (not about the future)</i></span>","futuro-simple irregular en-es use-conjecture"
"Si hace sol, <b>pondremos</b> la mesa en el jardín.<br><i>Futuro simple</i>","If it's sunny, <b>we'll set</b> the table in the garden.<br><span style='font-size:85%'>poner — to put; to set (the table) · nosotros · <i>result of si + present indicative</i></span>","futuro-simple irregular es-en use-si"
"<b>We'll do</b> our bit, I promise.<br><i>Futuro simple</i><br><span style='font-size:80%'>(poner · nosotros)</span>","<b>Pondremos</b> de nuestra parte, te lo prometo.<br><span style='font-size:85%'>poner — to put (poner de nuestra parte: to do our bit) · nosotros · <i>promise / resolution</i></span>","futuro-simple irregular en-es use-promise"
"<b>Pondréis</b> los móviles en esta caja hasta el final del examen.<br><i>Futuro simple</i>","<b>You will put</b> your phones in this box until the end of the exam.<br><span style='font-size:85%'>poner — to put · vosotros · <i>emphatic command</i></span>","futuro-simple irregular es-en use-command"
"When you guys move, what <b>will you put</b> in the spare room?<br><i>Futuro simple</i><br><span style='font-size:80%'>(poner · vosotros)</span>","Cuando os mudéis, ¿qué <b>pondréis</b> en la habitación de invitados?<br><span style='font-size:85%'>poner — to put · vosotros · <i>main clause after cuando / en cuanto + subjunctive</i></span>","futuro-simple irregular en-es use-cuando"
"Las autoridades <b>pondrán</b> en marcha un nuevo servicio de autobuses nocturnos.<br><i>Futuro simple</i>","The authorities <b>will launch</b> a new night bus service.<br><span style='font-size:85%'>poner — to put (poner en marcha: to launch) · ellas · <i>future event: formal register / announcement</i></span>","futuro-simple irregular es-en use-formal"
"My parents <b>will hit</b> the roof when they find out.<br><i>Futuro simple</i><br><span style='font-size:80%'>(poner · ellos)</span>","Mis padres <b>pondrán</b> el grito en el cielo cuando se enteren.<br><span style='font-size:85%'>poner — to put (poner el grito en el cielo: to hit the roof) · ellos · <i>prediction</i></span>","futuro-simple irregular en-es use-prediction"
"<b>Vendré</b> a verte en cuanto pueda, de verdad.<br><i>Futuro simple</i>","<b>I'll come</b> and see you as soon as I can, honestly.<br><span style='font-size:85%'>venir — to come · yo · <i>promise / resolution</i></span>","futuro-simple irregular es-en use-promise"
"If I finish early, <b>I'll come</b> to the party.<br><i>Futuro simple</i><br><span style='font-size:80%'>(venir · yo)</span>","Si termino pronto, <b>vendré</b> a la fiesta.<br><span style='font-size:85%'>venir — to come · yo · <i>result of si + present indicative</i></span>","futuro-simple irregular en-es use-si"
"Cuando termines el curso, ¿<b>vendrás</b> a vivir a Madrid?<br><i>Futuro simple</i>","When you finish the course, <b>will you come</b> and live in Madrid?<br><span style='font-size:85%'>venir — to come · tú · <i>main clause after cuando / en cuanto + subjunctive</i></span>","futuro-simple irregular es-en use-cuando"
"<b>You'll come</b> with us, whether you like it or not.<br><i>Futuro simple</i><br><span style='font-size:80%'>(venir · tú)</span>","<b>Vendrás</b> con nosotros, quieras o no.<br><span style='font-size:85%'>venir — to come · tú · <i>emphatic command</i></span>","futuro-simple irregular en-es use-command"
"El técnico <b>vendrá</b> entre las nueve y las dos.<br><i>Futuro simple</i>","The technician <b>will come</b> between nine and two.<br><span style='font-size:85%'>venir — to come · él · <i>future event: formal register / announcement</i></span>","futuro-simple irregular es-en use-formal"
"Don't worry, <b>he'll come</b>; he never lets anyone down.<br><i>Futuro simple</i><br><span style='font-size:80%'>(venir · él)</span>","Tranquila, <b>vendrá</b>; nunca deja tirado a nadie.<br><span style='font-size:85%'>venir — to come · él · <i>prediction</i></span>","futuro-simple irregular en-es use-prediction"
"Si nos invitáis, <b>vendremos</b> encantados.<br><i>Futuro simple</i>","If you invite us, <b>we'll come</b>, we'd love to.<br><span style='font-size:85%'>venir — to come · nosotros · <i>result of si + present indicative</i></span>","futuro-simple irregular es-en use-si"
"(To the hotel owner) <b>We'll come</b> again next year, for sure.<br><i>Futuro simple</i><br><span style='font-size:80%'>(venir · nosotros)</span>","<b>Vendremos</b> otra vez el año que viene, seguro.<br><span style='font-size:85%'>venir — to come · nosotros · <i>promise / resolution</i></span>","futuro-simple irregular en-es use-promise"
"<b>Vendréis</b> cansados del viaje; sentaos.<br><i>Futuro simple</i>","<b>You must be</b> tired from the journey; sit down, you two.<br><span style='font-size:85%'>venir — to come · vosotros · <i>conjecture / probability (not about the future)</i></span>","futuro-simple irregular es-en use-conjecture"
"<b>You guys will come</b> back really tanned from the beach.<br><i>Futuro simple</i><br><span style='font-size:80%'>(venir · vosotros)</span>","<b>Vendréis</b> morenísimos de la playa.<br><span style='font-size:85%'>venir — to come · vosotros · <i>prediction</i></span>","futuro-simple irregular en-es use-prediction"
"Según los organizadores, <b>vendrán</b> más de dos mil personas al festival.<br><i>Futuro simple</i>","According to the organisers, over two thousand people <b>will come</b> to the festival.<br><span style='font-size:85%'>venir — to come · ellos · <i>future event: formal register / announcement</i></span>","futuro-simple irregular es-en use-formal"
"My in-laws <b>will come</b> to see us when we get back from holiday.<br><i>Futuro simple</i><br><span style='font-size:80%'>(venir · ellos)</span>","Mis suegros <b>vendrán</b> a vernos cuando volvamos de vacaciones.<br><span style='font-size:85%'>venir — to come · ellos · <i>main clause after cuando / en cuanto + subjunctive</i></span>","futuro-simple irregular en-es use-cuando"
"Hoy <b>saldré</b> puntual del trabajo, te lo juro.<br><i>Futuro simple</i>","<b>I'll leave</b> work on time today, I swear.<br><span style='font-size:85%'>salir — to leave, to go out · yo · <i>promise / resolution</i></span>","futuro-simple irregular es-en use-promise"
"When I finish the report, <b>I'll go out</b> for a run.<br><i>Futuro simple</i><br><span style='font-size:80%'>(salir · yo)</span>","Cuando termine el informe, <b>saldré</b> a correr.<br><span style='font-size:85%'>salir — to leave, to go out · yo · <i>main clause after cuando / en cuanto + subjunctive</i></span>","futuro-simple irregular en-es use-cuando"
"No <b>saldrás</b> de casa hasta que termines los deberes.<br><i>Futuro simple</i>","<b>You won't leave</b> the house until you've finished your homework.<br><span style='font-size:85%'>salir — to leave, to go out · tú · <i>emphatic command</i></span>","futuro-simple irregular es-en use-command"
"<b>You'll come out</b> of this stronger, you'll see.<br><i>Futuro simple</i><br><span style='font-size:80%'>(salir · tú)</span>","<b>Saldrás</b> de esta más fuerte, ya verás.<br><span style='font-size:85%'>salir — to come out (of) · tú · <i>prediction</i></span>","futuro-simple irregular en-es use-prediction"
"El vuelo a Lisboa <b>saldrá</b> con retraso por la niebla.<br><i>Futuro simple</i>","The flight to Lisbon <b>will leave</b> late because of the fog.<br><span style='font-size:85%'>salir — to leave, to go out · él · <i>future event: formal register / announcement</i></span>","futuro-simple irregular es-en use-formal"
"If you use the flash, the photo <b>will come out</b> better.<br><i>Futuro simple</i><br><span style='font-size:80%'>(salir · ella)</span>","Si usas el flash, la foto <b>saldrá</b> mejor.<br><span style='font-size:85%'>salir — to come out, to turn out · ella · <i>result of si + present indicative</i></span>","futuro-simple irregular en-es use-si"
"<b>Saldremos</b> en cuanto deje de llover.<br><i>Futuro simple</i>","<b>We'll go out</b> as soon as it stops raining.<br><span style='font-size:85%'>salir — to leave, to go out · nosotros · <i>main clause after cuando / en cuanto + subjunctive</i></span>","futuro-simple irregular es-en use-cuando"
"(Tour guide) Tomorrow <b>we'll set off</b> at eight sharp; please be on time.<br><i>Futuro simple</i><br><span style='font-size:80%'>(salir · nosotros)</span>","Mañana <b>saldremos</b> a las ocho en punto; por favor, sean puntuales.<br><span style='font-size:85%'>salir — to set off · nosotros · <i>future event: formal register / announcement</i></span>","futuro-simple irregular en-es use-formal"
"Con este tráfico, no <b>saldréis</b> de Madrid antes de las diez.<br><i>Futuro simple</i>","With this traffic, <b>you guys won't get</b> out of Madrid before ten.<br><span style='font-size:85%'>salir — to get out (of) · vosotros · <i>prediction</i></span>","futuro-simple irregular es-en use-prediction"
"Promise me <b>you won't go out</b> without your coats, you two.<br><i>Futuro simple</i><br><span style='font-size:80%'>(salir · vosotros)</span>","Prometedme que no <b>saldréis</b> sin abrigo.<br><span style='font-size:85%'>salir — to leave, to go out · vosotros · <i>promise / resolution</i></span>","futuro-simple irregular en-es use-promise"
"Con este frío, los niños no <b>saldrán</b> al patio.<br><i>Futuro simple</i>","In this cold, the kids <b>won't go out</b> into the playground.<br><span style='font-size:85%'>salir — to leave, to go out · ellos · <i>prediction</i></span>","futuro-simple irregular es-en use-prediction"
"The exam results <b>will come out</b> at the end of July.<br><i>Futuro simple</i><br><span style='font-size:80%'>(salir · ellas)</span>","Las notas del examen <b>saldrán</b> a finales de julio.<br><span style='font-size:85%'>salir — to come out (be published) · ellas · <i>future event: formal register / announcement</i></span>","futuro-simple irregular en-es use-formal"
"No sé si <b>valdré</b> para esto, pero lo intentaré.<br><i>Futuro simple</i>","I don't know if <b>I'll be</b> any good at this, but I'll give it a go.<br><span style='font-size:85%'>valer — to be cut out for (valer para) · yo · <i>prediction</i></span>","futuro-simple irregular es-en use-prediction"
"Once I've got my master's, <b>I'll be worth</b> more on the job market.<br><i>Futuro simple</i><br><span style='font-size:80%'>(valer · yo)</span>","Cuando tenga el máster, <b>valdré</b> más en el mercado laboral.<br><span style='font-size:85%'>valer — to be worth · yo · <i>main clause after cuando / en cuanto + subjunctive</i></span>","futuro-simple irregular en-es use-cuando"
"Tú <b>valdrás</b> mucho, pero aquí mando yo.<br><i>Futuro simple</i>","<b>You may be</b> very good, but I'm the boss here.<br><span style='font-size:85%'>valer — to be worth · tú · <i>conjecture / probability (not about the future)</i></span>","futuro-simple irregular es-en use-conjecture"
"If you keep training like this, <b>you'll be worth</b> your weight in gold to the team.<br><i>Futuro simple</i><br><span style='font-size:80%'>(valer · tú)</span>","Si sigues entrenando así, <b>valdrás</b> tu peso en oro para el equipo.<br><span style='font-size:85%'>valer — to be worth · tú · <i>result of si + present indicative</i></span>","futuro-simple irregular en-es use-si"
"¿Cuánto <b>valdrá</b> este anillo? Era de mi abuela.<br><i>Futuro simple</i>","How much <b>might</b> this ring <b>be worth</b>? It was my gran's.<br><span style='font-size:85%'>valer — to be worth · él · <i>conjecture / probability (not about the future)</i></span>","futuro-simple irregular es-en use-conjecture"
"<b>It'll be worth</b> it, you'll see.<br><i>Futuro simple</i><br><span style='font-size:80%'>(valer · impersonal)</span>","<b>Valdrá</b> la pena, ya verás.<br><span style='font-size:85%'>valer — to be worth (valer la pena) · impersonal · <i>prediction</i></span>","futuro-simple irregular en-es use-prediction"
"Sin nuestro portero no <b>valdremos</b> nada en la final.<br><i>Futuro simple</i>","Without our goalkeeper <b>we'll be</b> useless in the final.<br><span style='font-size:85%'>valer — to be any good (valer) · nosotros · <i>prediction</i></span>","futuro-simple irregular es-en use-prediction"
"If we don't speak English, <b>we won't be</b> right for those jobs.<br><i>Futuro simple</i><br><span style='font-size:80%'>(valer · nosotros)</span>","Si no hablamos inglés, no <b>valdremos</b> para esos puestos.<br><span style='font-size:85%'>valer — to be cut out for (valer para) · nosotros · <i>result of si + present indicative</i></span>","futuro-simple irregular en-es use-si"
"Vosotros <b>valdréis</b> mucho como jugadores, pero como equipo sois un desastre.<br><i>Futuro simple</i>","<b>You guys may be</b> great players, but as a team you're a disaster.<br><span style='font-size:85%'>valer — to be worth · vosotros · <i>conjecture / probability (not about the future)</i></span>","futuro-simple irregular es-en use-conjecture"
"(To young footballers) With another year's experience, <b>you'll be worth</b> twice as much.<br><i>Futuro simple</i><br><span style='font-size:80%'>(valer · vosotros)</span>","Con un año más de experiencia, <b>valdréis</b> el doble en el mercado.<br><span style='font-size:85%'>valer — to be worth · vosotros · <i>prediction</i></span>","futuro-simple irregular en-es use-prediction"
"A partir de enero, las entradas <b>valdrán</b> cinco euros más.<br><i>Futuro simple</i>","From January, tickets <b>will cost</b> five euros more.<br><span style='font-size:85%'>valer — to cost · ellas · <i>future event: formal register / announcement</i></span>","futuro-simple irregular es-en use-formal"
"Those trainers <b>must cost</b> at least two hundred euros.<br><i>Futuro simple</i><br><span style='font-size:80%'>(valer · ellas)</span>","Esas zapatillas <b>valdrán</b> por lo menos doscientos euros.<br><span style='font-size:85%'>valer — to cost · ellas · <i>conjecture / probability (not about the future)</i></span>","futuro-simple irregular en-es use-conjecture"
