#separator:comma
#html:true
#notetype:Basic
#deck:Spanish::09 Pretérito pluscuamperfecto
#columns:Front,Back,Tags
#tags column:3
"How is the <b>Pretérito pluscuamperfecto</b> formed?","<b>haber in the <b>imperfect</b></b> + past participle<br><br>había · habías · había · habíamos · habíais · habían<br><br>Participles: -ar → <b>-ado</b> · -er/-ir → <b>-ido</b>","pluscuamperfecto-indicativo formation"
"<b>había hecho</b><br><i>Pretérito pluscuamperfecto</i>","<b>he/she had done</b><br><span style='font-size:85%'>hacer — to do (do or make) · él/ella/usted</span>","pluscuamperfecto-indicativo irregular-participle es-en"
"<b>he/she had done</b><br><span style='font-size:80%'>[do or make]</span><br><i>Pretérito pluscuamperfecto</i>","<b>había hecho</b><br><span style='font-size:85%'>hacer — to do (do or make) · él/ella/usted</span>","pluscuamperfecto-indicativo irregular-participle en-es"
"<b>habíamos hecho</b><br><i>Pretérito pluscuamperfecto</i>","<b>we had done</b><br><span style='font-size:85%'>hacer — to do (do or make) · nosotros</span>","pluscuamperfecto-indicativo irregular-participle es-en"
"<b>we had done</b><br><span style='font-size:80%'>[do or make]</span><br><i>Pretérito pluscuamperfecto</i>","<b>habíamos hecho</b><br><span style='font-size:85%'>hacer — to do (do or make) · nosotros</span>","pluscuamperfecto-indicativo irregular-participle en-es"
"<b>habíais hecho</b><br><i>Pretérito pluscuamperfecto</i>","<b>you all had done</b><br><span style='font-size:85%'>hacer — to do (do or make) · vosotros</span>","pluscuamperfecto-indicativo irregular-participle es-en"
"<b>you all had done</b><br><span style='font-size:80%'>[do or make]</span><br><i>Pretérito pluscuamperfecto</i>","<b>habíais hecho</b><br><span style='font-size:85%'>hacer — to do (do or make) · vosotros</span>","pluscuamperfecto-indicativo irregular-participle en-es"
"<b>habían hecho</b><br><i>Pretérito pluscuamperfecto</i>","<b>they had done</b><br><span style='font-size:85%'>hacer — to do (do or make) · ellos/ellas/ustedes</span>","pluscuamperfecto-indicativo irregular-participle es-en"
"<b>they had done</b><br><span style='font-size:80%'>[do or make]</span><br><i>Pretérito pluscuamperfecto</i>","<b>habían hecho</b><br><span style='font-size:85%'>hacer — to do (do or make) · ellos/ellas/ustedes</span>","pluscuamperfecto-indicativo irregular-participle en-es"
"<b>había dicho</b><br><i>Pretérito pluscuamperfecto</i>","<b>I had said</b><br><span style='font-size:85%'>decir — to say (say or tell) · yo</span>","pluscuamperfecto-indicativo irregular-participle es-en"
"<b>I had said</b><br><span style='font-size:80%'>[say or tell]</span><br><i>Pretérito pluscuamperfecto</i>","<b>había dicho</b><br><span style='font-size:85%'>decir — to say (say or tell) · yo</span>","pluscuamperfecto-indicativo irregular-participle en-es"
"<b>habías dicho</b><br><i>Pretérito pluscuamperfecto</i>","<b>you had said</b><br><span style='font-size:85%'>decir — to say (say or tell) · tú</span>","pluscuamperfecto-indicativo irregular-participle es-en"
"<b>you had said</b><br><span style='font-size:80%'>[say or tell]</span><br><i>Pretérito pluscuamperfecto</i>","<b>habías dicho</b><br><span style='font-size:85%'>decir — to say (say or tell) · tú</span>","pluscuamperfecto-indicativo irregular-participle en-es"
"<b>había dicho</b><br><i>Pretérito pluscuamperfecto</i>","<b>he/she had said</b><br><span style='font-size:85%'>decir — to say (say or tell) · él/ella/usted</span>","pluscuamperfecto-indicativo irregular-participle es-en"
"<b>he/she had said</b><br><span style='font-size:80%'>[say or tell]</span><br><i>Pretérito pluscuamperfecto</i>","<b>había dicho</b><br><span style='font-size:85%'>decir — to say (say or tell) · él/ella/usted</span>","pluscuamperfecto-indicativo irregular-participle en-es"
"<b>habíamos dicho</b><br><i>Pretérito pluscuamperfecto</i>","<b>we had said</b><br><span style='font-size:85%'>decir — to say (say or tell) · nosotros</span>","pluscuamperfecto-indicativo irregular-participle es-en"
"<b>we had said</b><br><span style='font-size:80%'>[say or tell]</span><br><i>Pretérito pluscuamperfecto</i>","<b>habíamos dicho</b><br><span style='font-size:85%'>decir — to say (say or tell) · nosotros</span>","pluscuamperfecto-indicativo irregular-participle en-es"
"<b>habíais dicho</b><br><i>Pretérito pluscuamperfecto</i>","<b>you all had said</b><br><span style='font-size:85%'>decir — to say (say or tell) · vosotros</span>","pluscuamperfecto-indicativo irregular-participle es-en"
"<b>you all had said</b><br><span style='font-size:80%'>[say or tell]</span><br><i>Pretérito pluscuamperfecto</i>","<b>habíais dicho</b><br><span style='font-size:85%'>decir — to say (say or tell) · vosotros</span>","pluscuamperfecto-indicativo irregular-participle en-es"
"<b>habían dicho</b><br><i>Pretérito pluscuamperfecto</i>","<b>they had said</b><br><span style='font-size:85%'>decir — to say (say or tell) · ellos/ellas/ustedes</span>","pluscuamperfecto-indicativo irregular-participle es-en"
"<b>they had said</b><br><span style='font-size:80%'>[say or tell]</span><br><i>Pretérito pluscuamperfecto</i>","<b>habían dicho</b><br><span style='font-size:85%'>decir — to say (say or tell) · ellos/ellas/ustedes</span>","pluscuamperfecto-indicativo irregular-participle en-es"
"<b>había visto</b><br><i>Pretérito pluscuamperfecto</i>","<b>I had seen</b><br><span style='font-size:85%'>ver — to see · yo</span>","pluscuamperfecto-indicativo irregular-participle es-en"
"<b>I had seen</b><br><i>Pretérito pluscuamperfecto</i>","<b>había visto</b><br><span style='font-size:85%'>ver — to see · yo</span>","pluscuamperfecto-indicativo irregular-participle en-es"
"<b>habías visto</b><br><i>Pretérito pluscuamperfecto</i>","<b>you had seen</b><br><span style='font-size:85%'>ver — to see · tú</span>","pluscuamperfecto-indicativo irregular-participle es-en"
"<b>you had seen</b><br><i>Pretérito pluscuamperfecto</i>","<b>habías visto</b><br><span style='font-size:85%'>ver — to see · tú</span>","pluscuamperfecto-indicativo irregular-participle en-es"
"<b>había visto</b><br><i>Pretérito pluscuamperfecto</i>","<b>he/she had seen</b><br><span style='font-size:85%'>ver — to see · él/ella/usted</span>","pluscuamperfecto-indicativo irregular-participle es-en"
"<b>he/she had seen</b><br><i>Pretérito pluscuamperfecto</i>","<b>había visto</b><br><span style='font-size:85%'>ver — to see · él/ella/usted</span>","pluscuamperfecto-indicativo irregular-participle en-es"
"<b>habíamos visto</b><br><i>Pretérito pluscuamperfecto</i>","<b>we had seen</b><br><span style='font-size:85%'>ver — to see · nosotros</span>","pluscuamperfecto-indicativo irregular-participle es-en"
"<b>we had seen</b><br><i>Pretérito pluscuamperfecto</i>","<b>habíamos visto</b><br><span style='font-size:85%'>ver — to see · nosotros</span>","pluscuamperfecto-indicativo irregular-participle en-es"
"<b>habíais visto</b><br><i>Pretérito pluscuamperfecto</i>","<b>you all had seen</b><br><span style='font-size:85%'>ver — to see · vosotros</span>","pluscuamperfecto-indicativo irregular-participle es-en"
"<b>you all had seen</b><br><i>Pretérito pluscuamperfecto</i>","<b>habíais visto</b><br><span style='font-size:85%'>ver — to see · vosotros</span>","pluscuamperfecto-indicativo irregular-participle en-es"
"<b>habían visto</b><br><i>Pretérito pluscuamperfecto</i>","<b>they had seen</b><br><span style='font-size:85%'>ver — to see · ellos/ellas/ustedes</span>","pluscuamperfecto-indicativo irregular-participle es-en"
"<b>they had seen</b><br><i>Pretérito pluscuamperfecto</i>","<b>habían visto</b><br><span style='font-size:85%'>ver — to see · ellos/ellas/ustedes</span>","pluscuamperfecto-indicativo irregular-participle en-es"
"<b>había puesto</b><br><i>Pretérito pluscuamperfecto</i>","<b>I had put</b><br><span style='font-size:85%'>poner — to put · yo</span>","pluscuamperfecto-indicativo irregular-participle es-en"
"<b>I had put</b><br><i>Pretérito pluscuamperfecto</i>","<b>había puesto</b><br><span style='font-size:85%'>poner — to put · yo</span>","pluscuamperfecto-indicativo irregular-participle en-es"
"<b>habías puesto</b><br><i>Pretérito pluscuamperfecto</i>","<b>you had put</b><br><span style='font-size:85%'>poner — to put · tú</span>","pluscuamperfecto-indicativo irregular-participle es-en"
"<b>you had put</b><br><i>Pretérito pluscuamperfecto</i>","<b>habías puesto</b><br><span style='font-size:85%'>poner — to put · tú</span>","pluscuamperfecto-indicativo irregular-participle en-es"
"<b>había puesto</b><br><i>Pretérito pluscuamperfecto</i>","<b>he/she had put</b><br><span style='font-size:85%'>poner — to put · él/ella/usted</span>","pluscuamperfecto-indicativo irregular-participle es-en"
"<b>he/she had put</b><br><i>Pretérito pluscuamperfecto</i>","<b>había puesto</b><br><span style='font-size:85%'>poner — to put · él/ella/usted</span>","pluscuamperfecto-indicativo irregular-participle en-es"
"<b>habíamos puesto</b><br><i>Pretérito pluscuamperfecto</i>","<b>we had put</b><br><span style='font-size:85%'>poner — to put · nosotros</span>","pluscuamperfecto-indicativo irregular-participle es-en"
"<b>we had put</b><br><i>Pretérito pluscuamperfecto</i>","<b>habíamos puesto</b><br><span style='font-size:85%'>poner — to put · nosotros</span>","pluscuamperfecto-indicativo irregular-participle en-es"
"<b>habíais puesto</b><br><i>Pretérito pluscuamperfecto</i>","<b>you all had put</b><br><span style='font-size:85%'>poner — to put · vosotros</span>","pluscuamperfecto-indicativo irregular-participle es-en"
"<b>you all had put</b><br><i>Pretérito pluscuamperfecto</i>","<b>habíais puesto</b><br><span style='font-size:85%'>poner — to put · vosotros</span>","pluscuamperfecto-indicativo irregular-participle en-es"
"<b>habían puesto</b><br><i>Pretérito pluscuamperfecto</i>","<b>they had put</b><br><span style='font-size:85%'>poner — to put · ellos/ellas/ustedes</span>","pluscuamperfecto-indicativo irregular-participle es-en"
"<b>they had put</b><br><i>Pretérito pluscuamperfecto</i>","<b>habían puesto</b><br><span style='font-size:85%'>poner — to put · ellos/ellas/ustedes</span>","pluscuamperfecto-indicativo irregular-participle en-es"
"The irregular <b>past participles</b>","<table><tr><td>hacer</td><td><b>hecho</b></td></tr><tr><td>decir</td><td><b>dicho</b></td></tr><tr><td>ver</td><td><b>visto</b></td></tr><tr><td>poner</td><td><b>puesto</b></td></tr><tr><td>escribir</td><td><b>escrito</b></td></tr><tr><td>volver</td><td><b>vuelto</b></td></tr><tr><td>abrir</td><td><b>abierto</b></td></tr><tr><td>romper</td><td><b>roto</b></td></tr><tr><td>morir</td><td><b>muerto</b></td></tr><tr><td>cubrir</td><td><b>cubierto</b></td></tr><tr><td>resolver</td><td><b>resuelto</b></td></tr><tr><td>devolver</td><td><b>devuelto</b></td></tr><tr><td>descubrir</td><td><b>descubierto</b></td></tr><tr><td>describir</td><td><b>descrito</b></td></tr><tr><td>satisfacer</td><td><b>satisfecho</b></td></tr><tr><td>imprimir</td><td><b>impreso / imprimido</b></td></tr><tr><td>freír</td><td><b>frito / freído</b></td></tr><tr><td>proveer</td><td><b>provisto / proveído</b></td></tr></table>","pluscuamperfecto-indicativo irregular-participle"
"<b>When and why</b> do you use the<br><i>Pretérito pluscuamperfecto</i>?","The <b>earlier of two past events</b> — 'had done'. One of the few tenses where the English intuition transfers cleanly.<ul><li><b>Backgrounding within past narration</b> — <i>cuando llegué, ya se habían ido.</i></li><li><b>Experience up to a past point</b> — <i>nunca había visto algo así.</i></li><li><b>Reported speech shifting a perfect back</b> — <i>dijo que había terminado.</i></li></ul>","pluscuamperfecto-indicativo usage concept"
"<b>Tricks and tips</b> for the<br><i>Pretérito pluscuamperfecto</i>","<ul><li><i>Haber</i> is perfectly regular in the imperfect — no surprises in this tense at all.</li><li>Common companions: <i>ya, todavía no, nunca, antes, cuando</i>.</li><li>If you can handle 'had done' in English, the only work here is the participle list.</li></ul>","pluscuamperfecto-indicativo tips concept"
