#separator:comma
#html:true
#notetype:Basic
#deck:Spanish::02 Pretérito perfecto simple
#columns:Front,Back,Tags
#tags column:3
"Endings at a glance:<br><i>Pretérito perfecto simple</i>","<b>-ar</b>: é · aste · ó · amos · asteis · aron<br><b>-er / -ir</b>: í · iste · ió · imos · isteis · ieron<br><b>Strong (irregular stem)</b>: e · iste · o · imos · isteis · ieron — <b>no accents</b>","preterito-indefinido endings"
"<b>they spoke</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>hablaron</b><br><span style='font-size:85%'>hablar — to speak · ellos/ellas/ustedes</span>","preterito-indefinido regular en-es"
"<b>comí</b><br><i>Pretérito perfecto simple</i>","<b>I ate</b><br><span style='font-size:85%'>comer — to eat · yo</span>","preterito-indefinido regular es-en"
"<b>I ate</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>comí</b><br><span style='font-size:85%'>comer — to eat · yo</span>","preterito-indefinido regular en-es"
"<b>comiste</b><br><i>Pretérito perfecto simple</i>","<b>you ate</b><br><span style='font-size:85%'>comer — to eat · tú</span>","preterito-indefinido regular es-en"
"<b>you ate</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>comiste</b><br><span style='font-size:85%'>comer — to eat · tú</span>","preterito-indefinido regular en-es"
"<b>comió</b><br><i>Pretérito perfecto simple</i>","<b>he/she ate</b><br><span style='font-size:85%'>comer — to eat · él/ella/usted</span>","preterito-indefinido regular es-en"
"<b>he/she ate</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>comió</b><br><span style='font-size:85%'>comer — to eat · él/ella/usted</span>","preterito-indefinido regular en-es"
"<b>comimos</b><br><i>Pretérito perfecto simple</i>","<b>we ate</b><br><span style='font-size:85%'>comer — to eat · nosotros</span>","preterito-indefinido regular es-en"
"<b>we ate</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>comimos</b><br><span style='font-size:85%'>comer — to eat · nosotros</span>","preterito-indefinido regular en-es"
"<b>comisteis</b><br><i>Pretérito perfecto simple</i>","<b>you all ate</b><br><span style='font-size:85%'>comer — to eat · vosotros</span>","preterito-indefinido regular es-en"
"<b>you all ate</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>comisteis</b><br><span style='font-size:85%'>comer — to eat · vosotros</span>","preterito-indefinido regular en-es"
"<b>comieron</b><br><i>Pretérito perfecto simple</i>","<b>they ate</b><br><span style='font-size:85%'>comer — to eat · ellos/ellas/ustedes</span>","preterito-indefinido regular es-en"
"<b>they ate</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>comieron</b><br><span style='font-size:85%'>comer — to eat · ellos/ellas/ustedes</span>","preterito-indefinido regular en-es"
"<b>viví</b><br><i>Pretérito perfecto simple</i>","<b>I lived</b><br><span style='font-size:85%'>vivir — to live · yo</span>","preterito-indefinido regular es-en"
"<b>I lived</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>viví</b><br><span style='font-size:85%'>vivir — to live · yo</span>","preterito-indefinido regular en-es"
"<b>viviste</b><br><i>Pretérito perfecto simple</i>","<b>you lived</b><br><span style='font-size:85%'>vivir — to live · tú</span>","preterito-indefinido regular es-en"
"<b>you lived</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>viviste</b><br><span style='font-size:85%'>vivir — to live · tú</span>","preterito-indefinido regular en-es"
"<b>vivió</b><br><i>Pretérito perfecto simple</i>","<b>he/she lived</b><br><span style='font-size:85%'>vivir — to live · él/ella/usted</span>","preterito-indefinido regular es-en"
"<b>he/she lived</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>vivió</b><br><span style='font-size:85%'>vivir — to live · él/ella/usted</span>","preterito-indefinido regular en-es"
"<b>vivimos</b><br><i>Pretérito perfecto simple</i>","<b>we lived</b><br><span style='font-size:85%'>vivir — to live · nosotros</span>","preterito-indefinido regular es-en"
"<b>we lived</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>vivimos</b><br><span style='font-size:85%'>vivir — to live · nosotros</span>","preterito-indefinido regular en-es"
"<b>vivisteis</b><br><i>Pretérito perfecto simple</i>","<b>you all lived</b><br><span style='font-size:85%'>vivir — to live · vosotros</span>","preterito-indefinido regular es-en"
"<b>you all lived</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>vivisteis</b><br><span style='font-size:85%'>vivir — to live · vosotros</span>","preterito-indefinido regular en-es"
"<b>vivieron</b><br><i>Pretérito perfecto simple</i>","<b>they lived</b><br><span style='font-size:85%'>vivir — to live · ellos/ellas/ustedes</span>","preterito-indefinido regular es-en"
"<b>they lived</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>vivieron</b><br><span style='font-size:85%'>vivir — to live · ellos/ellas/ustedes</span>","preterito-indefinido regular en-es"
"<b>fui</b><br><i>Pretérito perfecto simple</i>","<b>I was or went</b><br><span style='font-size:85%'>ser / ir — to be or go (the two verbs share this paradigm) · yo</span>","preterito-indefinido irregular es-en"
"<b>I was or went</b><br><span style='font-size:80%'>[the two verbs share this paradigm]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>fui</b><br><span style='font-size:85%'>ser / ir — to be or go (the two verbs share this paradigm) · yo</span>","preterito-indefinido irregular en-es"
"<b>fuiste</b><br><i>Pretérito perfecto simple</i>","<b>you were or went</b><br><span style='font-size:85%'>ser / ir — to be or go (the two verbs share this paradigm) · tú</span>","preterito-indefinido irregular es-en"
"<b>you were or went</b><br><span style='font-size:80%'>[the two verbs share this paradigm]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>fuiste</b><br><span style='font-size:85%'>ser / ir — to be or go (the two verbs share this paradigm) · tú</span>","preterito-indefinido irregular en-es"
"<b>fue</b><br><i>Pretérito perfecto simple</i>","<b>he/she was or went</b><br><span style='font-size:85%'>ser / ir — to be or go (the two verbs share this paradigm) · él/ella/usted</span>","preterito-indefinido irregular es-en"
"<b>he/she was or went</b><br><span style='font-size:80%'>[the two verbs share this paradigm]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>fue</b><br><span style='font-size:85%'>ser / ir — to be or go (the two verbs share this paradigm) · él/ella/usted</span>","preterito-indefinido irregular en-es"
"<b>fuimos</b><br><i>Pretérito perfecto simple</i>","<b>we were or went</b><br><span style='font-size:85%'>ser / ir — to be or go (the two verbs share this paradigm) · nosotros</span>","preterito-indefinido irregular es-en"
"<b>we were or went</b><br><span style='font-size:80%'>[the two verbs share this paradigm]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>fuimos</b><br><span style='font-size:85%'>ser / ir — to be or go (the two verbs share this paradigm) · nosotros</span>","preterito-indefinido irregular en-es"
"<b>fuisteis</b><br><i>Pretérito perfecto simple</i>","<b>you all were or went</b><br><span style='font-size:85%'>ser / ir — to be or go (the two verbs share this paradigm) · vosotros</span>","preterito-indefinido irregular es-en"
"<b>you all were or went</b><br><span style='font-size:80%'>[the two verbs share this paradigm]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>fuisteis</b><br><span style='font-size:85%'>ser / ir — to be or go (the two verbs share this paradigm) · vosotros</span>","preterito-indefinido irregular en-es"
"<b>fueron</b><br><i>Pretérito perfecto simple</i>","<b>they were or went</b><br><span style='font-size:85%'>ser / ir — to be or go (the two verbs share this paradigm) · ellos/ellas/ustedes</span>","preterito-indefinido irregular es-en"
"<b>they were or went</b><br><span style='font-size:80%'>[the two verbs share this paradigm]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>fueron</b><br><span style='font-size:85%'>ser / ir — to be or go (the two verbs share this paradigm) · ellos/ellas/ustedes</span>","preterito-indefinido irregular en-es"
"<b>di</b><br><i>Pretérito perfecto simple</i>","<b>I gave</b><br><span style='font-size:85%'>dar — to give · yo</span>","preterito-indefinido irregular es-en"
"<b>I gave</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>di</b><br><span style='font-size:85%'>dar — to give · yo</span>","preterito-indefinido irregular en-es"
"<b>diste</b><br><i>Pretérito perfecto simple</i>","<b>you gave</b><br><span style='font-size:85%'>dar — to give · tú</span>","preterito-indefinido irregular es-en"
"<b>you gave</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>diste</b><br><span style='font-size:85%'>dar — to give · tú</span>","preterito-indefinido irregular en-es"
"<b>dio</b><br><i>Pretérito perfecto simple</i>","<b>he/she gave</b><br><span style='font-size:85%'>dar — to give · él/ella/usted</span>","preterito-indefinido irregular es-en"
"<b>he/she gave</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>dio</b><br><span style='font-size:85%'>dar — to give · él/ella/usted</span>","preterito-indefinido irregular en-es"
"<b>dimos</b><br><i>Pretérito perfecto simple</i>","<b>we gave</b><br><span style='font-size:85%'>dar — to give · nosotros</span>","preterito-indefinido irregular es-en"
"<b>we gave</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>dimos</b><br><span style='font-size:85%'>dar — to give · nosotros</span>","preterito-indefinido irregular en-es"
"<b>disteis</b><br><i>Pretérito perfecto simple</i>","<b>you all gave</b><br><span style='font-size:85%'>dar — to give · vosotros</span>","preterito-indefinido irregular es-en"
"<b>you all gave</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>disteis</b><br><span style='font-size:85%'>dar — to give · vosotros</span>","preterito-indefinido irregular en-es"
"<b>dieron</b><br><i>Pretérito perfecto simple</i>","<b>they gave</b><br><span style='font-size:85%'>dar — to give · ellos/ellas/ustedes</span>","preterito-indefinido irregular es-en"
"<b>they gave</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>dieron</b><br><span style='font-size:85%'>dar — to give · ellos/ellas/ustedes</span>","preterito-indefinido irregular en-es"
"<b>vi</b><br><i>Pretérito perfecto simple</i>","<b>I saw</b><br><span style='font-size:85%'>ver — to see · yo</span>","preterito-indefinido irregular es-en"
"<b>I saw</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>vi</b><br><span style='font-size:85%'>ver — to see · yo</span>","preterito-indefinido irregular en-es"
"<b>viste</b><br><i>Pretérito perfecto simple</i>","<b>you saw</b><br><span style='font-size:85%'>ver — to see · tú</span>","preterito-indefinido irregular es-en"
"<b>you saw</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>viste</b><br><span style='font-size:85%'>ver — to see · tú</span>","preterito-indefinido irregular en-es"
"<b>vio</b><br><i>Pretérito perfecto simple</i>","<b>he/she saw</b><br><span style='font-size:85%'>ver — to see · él/ella/usted</span>","preterito-indefinido irregular es-en"
"<b>he/she saw</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>vio</b><br><span style='font-size:85%'>ver — to see · él/ella/usted</span>","preterito-indefinido irregular en-es"
"<b>vimos</b><br><i>Pretérito perfecto simple</i>","<b>we saw</b><br><span style='font-size:85%'>ver — to see · nosotros</span>","preterito-indefinido irregular es-en"
"<b>we saw</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>vimos</b><br><span style='font-size:85%'>ver — to see · nosotros</span>","preterito-indefinido irregular en-es"
"<b>visteis</b><br><i>Pretérito perfecto simple</i>","<b>you all saw</b><br><span style='font-size:85%'>ver — to see · vosotros</span>","preterito-indefinido irregular es-en"
"<b>you all saw</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>visteis</b><br><span style='font-size:85%'>ver — to see · vosotros</span>","preterito-indefinido irregular en-es"
"<b>vieron</b><br><i>Pretérito perfecto simple</i>","<b>they saw</b><br><span style='font-size:85%'>ver — to see · ellos/ellas/ustedes</span>","preterito-indefinido irregular es-en"
"<b>they saw</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>vieron</b><br><span style='font-size:85%'>ver — to see · ellos/ellas/ustedes</span>","preterito-indefinido irregular en-es"
"<b>tuve</b><br><i>Pretérito perfecto simple</i>","<b>I had</b><br><span style='font-size:85%'>tener — to have (possess) · yo</span>","preterito-indefinido irregular es-en"
"<b>I had</b><br><span style='font-size:80%'>[possess]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>tuve</b><br><span style='font-size:85%'>tener — to have (possess) · yo</span>","preterito-indefinido irregular en-es"
"<b>tuviste</b><br><i>Pretérito perfecto simple</i>","<b>you had</b><br><span style='font-size:85%'>tener — to have (possess) · tú</span>","preterito-indefinido irregular es-en"
"<b>you had</b><br><span style='font-size:80%'>[possess]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>tuviste</b><br><span style='font-size:85%'>tener — to have (possess) · tú</span>","preterito-indefinido irregular en-es"
"<b>tuvo</b><br><i>Pretérito perfecto simple</i>","<b>he/she had</b><br><span style='font-size:85%'>tener — to have (possess) · él/ella/usted</span>","preterito-indefinido irregular es-en"
"<b>he/she had</b><br><span style='font-size:80%'>[possess]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>tuvo</b><br><span style='font-size:85%'>tener — to have (possess) · él/ella/usted</span>","preterito-indefinido irregular en-es"
"<b>tuvimos</b><br><i>Pretérito perfecto simple</i>","<b>we had</b><br><span style='font-size:85%'>tener — to have (possess) · nosotros</span>","preterito-indefinido irregular es-en"
"<b>we had</b><br><span style='font-size:80%'>[possess]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>tuvimos</b><br><span style='font-size:85%'>tener — to have (possess) · nosotros</span>","preterito-indefinido irregular en-es"
"<b>tuvisteis</b><br><i>Pretérito perfecto simple</i>","<b>you all had</b><br><span style='font-size:85%'>tener — to have (possess) · vosotros</span>","preterito-indefinido irregular es-en"
"<b>you all had</b><br><span style='font-size:80%'>[possess]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>tuvisteis</b><br><span style='font-size:85%'>tener — to have (possess) · vosotros</span>","preterito-indefinido irregular en-es"
"<b>tuvieron</b><br><i>Pretérito perfecto simple</i>","<b>they had</b><br><span style='font-size:85%'>tener — to have (possess) · ellos/ellas/ustedes</span>","preterito-indefinido irregular es-en"
"<b>they had</b><br><span style='font-size:80%'>[possess]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>tuvieron</b><br><span style='font-size:85%'>tener — to have (possess) · ellos/ellas/ustedes</span>","preterito-indefinido irregular en-es"
"<b>estuve</b><br><i>Pretérito perfecto simple</i>","<b>I was (at that moment)</b><br><span style='font-size:85%'>estar — to be (state, location) · yo</span>","preterito-indefinido irregular es-en"
"<b>I was (at that moment)</b><br><span style='font-size:80%'>[state, location]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>estuve</b><br><span style='font-size:85%'>estar — to be (state, location) · yo</span>","preterito-indefinido irregular en-es"
"<b>estuviste</b><br><i>Pretérito perfecto simple</i>","<b>you were (at that moment)</b><br><span style='font-size:85%'>estar — to be (state, location) · tú</span>","preterito-indefinido irregular es-en"
"<b>you were (at that moment)</b><br><span style='font-size:80%'>[state, location]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>estuviste</b><br><span style='font-size:85%'>estar — to be (state, location) · tú</span>","preterito-indefinido irregular en-es"
"<b>estuvo</b><br><i>Pretérito perfecto simple</i>","<b>he/she was (at that moment)</b><br><span style='font-size:85%'>estar — to be (state, location) · él/ella/usted</span>","preterito-indefinido irregular es-en"
"<b>he/she was (at that moment)</b><br><span style='font-size:80%'>[state, location]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>estuvo</b><br><span style='font-size:85%'>estar — to be (state, location) · él/ella/usted</span>","preterito-indefinido irregular en-es"
"<b>estuvimos</b><br><i>Pretérito perfecto simple</i>","<b>we were (at that moment)</b><br><span style='font-size:85%'>estar — to be (state, location) · nosotros</span>","preterito-indefinido irregular es-en"
"<b>we were (at that moment)</b><br><span style='font-size:80%'>[state, location]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>estuvimos</b><br><span style='font-size:85%'>estar — to be (state, location) · nosotros</span>","preterito-indefinido irregular en-es"
"<b>estuvisteis</b><br><i>Pretérito perfecto simple</i>","<b>you all were (at that moment)</b><br><span style='font-size:85%'>estar — to be (state, location) · vosotros</span>","preterito-indefinido irregular es-en"
"<b>you all were (at that moment)</b><br><span style='font-size:80%'>[state, location]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>estuvisteis</b><br><span style='font-size:85%'>estar — to be (state, location) · vosotros</span>","preterito-indefinido irregular en-es"
"<b>estuvieron</b><br><i>Pretérito perfecto simple</i>","<b>they were (at that moment)</b><br><span style='font-size:85%'>estar — to be (state, location) · ellos/ellas/ustedes</span>","preterito-indefinido irregular es-en"
"<b>they were (at that moment)</b><br><span style='font-size:80%'>[state, location]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>estuvieron</b><br><span style='font-size:85%'>estar — to be (state, location) · ellos/ellas/ustedes</span>","preterito-indefinido irregular en-es"
"<b>anduve</b><br><i>Pretérito perfecto simple</i>","<b>I walked</b><br><span style='font-size:85%'>andar — to walk · yo</span>","preterito-indefinido irregular es-en"
"<b>I walked</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>anduve</b><br><span style='font-size:85%'>andar — to walk · yo</span>","preterito-indefinido irregular en-es"
"<b>anduviste</b><br><i>Pretérito perfecto simple</i>","<b>you walked</b><br><span style='font-size:85%'>andar — to walk · tú</span>","preterito-indefinido irregular es-en"
"<b>you walked</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>anduviste</b><br><span style='font-size:85%'>andar — to walk · tú</span>","preterito-indefinido irregular en-es"
"<b>anduvo</b><br><i>Pretérito perfecto simple</i>","<b>he/she walked</b><br><span style='font-size:85%'>andar — to walk · él/ella/usted</span>","preterito-indefinido irregular es-en"
"<b>he/she walked</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>anduvo</b><br><span style='font-size:85%'>andar — to walk · él/ella/usted</span>","preterito-indefinido irregular en-es"
"<b>anduvimos</b><br><i>Pretérito perfecto simple</i>","<b>we walked</b><br><span style='font-size:85%'>andar — to walk · nosotros</span>","preterito-indefinido irregular es-en"
"<b>we walked</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>anduvimos</b><br><span style='font-size:85%'>andar — to walk · nosotros</span>","preterito-indefinido irregular en-es"
"<b>anduvisteis</b><br><i>Pretérito perfecto simple</i>","<b>you all walked</b><br><span style='font-size:85%'>andar — to walk · vosotros</span>","preterito-indefinido irregular es-en"
"<b>you all walked</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>anduvisteis</b><br><span style='font-size:85%'>andar — to walk · vosotros</span>","preterito-indefinido irregular en-es"
"<b>anduvieron</b><br><i>Pretérito perfecto simple</i>","<b>they walked</b><br><span style='font-size:85%'>andar — to walk · ellos/ellas/ustedes</span>","preterito-indefinido irregular es-en"
"<b>they walked</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>anduvieron</b><br><span style='font-size:85%'>andar — to walk · ellos/ellas/ustedes</span>","preterito-indefinido irregular en-es"
"<b>pude</b><br><i>Pretérito perfecto simple</i>","<b>I could</b><br><span style='font-size:85%'>poder — to be able to (ability) · yo</span>","preterito-indefinido irregular es-en"
"<b>I could</b><br><span style='font-size:80%'>[ability]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>pude</b><br><span style='font-size:85%'>poder — to be able to (ability) · yo</span>","preterito-indefinido irregular en-es"
"<b>pudiste</b><br><i>Pretérito perfecto simple</i>","<b>you could</b><br><span style='font-size:85%'>poder — to be able to (ability) · tú</span>","preterito-indefinido irregular es-en"
"<b>you could</b><br><span style='font-size:80%'>[ability]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>pudiste</b><br><span style='font-size:85%'>poder — to be able to (ability) · tú</span>","preterito-indefinido irregular en-es"
"<b>pudo</b><br><i>Pretérito perfecto simple</i>","<b>he/she could</b><br><span style='font-size:85%'>poder — to be able to (ability) · él/ella/usted</span>","preterito-indefinido irregular es-en"
"<b>he/she could</b><br><span style='font-size:80%'>[ability]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>pudo</b><br><span style='font-size:85%'>poder — to be able to (ability) · él/ella/usted</span>","preterito-indefinido irregular en-es"
"<b>pudimos</b><br><i>Pretérito perfecto simple</i>","<b>we could</b><br><span style='font-size:85%'>poder — to be able to (ability) · nosotros</span>","preterito-indefinido irregular es-en"
"<b>we could</b><br><span style='font-size:80%'>[ability]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>pudimos</b><br><span style='font-size:85%'>poder — to be able to (ability) · nosotros</span>","preterito-indefinido irregular en-es"
"<b>pudisteis</b><br><i>Pretérito perfecto simple</i>","<b>you all could</b><br><span style='font-size:85%'>poder — to be able to (ability) · vosotros</span>","preterito-indefinido irregular es-en"
"<b>you all could</b><br><span style='font-size:80%'>[ability]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>pudisteis</b><br><span style='font-size:85%'>poder — to be able to (ability) · vosotros</span>","preterito-indefinido irregular en-es"
"<b>pudieron</b><br><i>Pretérito perfecto simple</i>","<b>they could</b><br><span style='font-size:85%'>poder — to be able to (ability) · ellos/ellas/ustedes</span>","preterito-indefinido irregular es-en"
"<b>they could</b><br><span style='font-size:80%'>[ability]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>pudieron</b><br><span style='font-size:85%'>poder — to be able to (ability) · ellos/ellas/ustedes</span>","preterito-indefinido irregular en-es"
"<b>puse</b><br><i>Pretérito perfecto simple</i>","<b>I put</b><br><span style='font-size:85%'>poner — to put · yo</span>","preterito-indefinido irregular es-en"
"<b>I put</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>puse</b><br><span style='font-size:85%'>poner — to put · yo</span>","preterito-indefinido irregular en-es"
"<b>pusiste</b><br><i>Pretérito perfecto simple</i>","<b>you put</b><br><span style='font-size:85%'>poner — to put · tú</span>","preterito-indefinido irregular es-en"
"<b>you put</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>pusiste</b><br><span style='font-size:85%'>poner — to put · tú</span>","preterito-indefinido irregular en-es"
"<b>puso</b><br><i>Pretérito perfecto simple</i>","<b>he/she put</b><br><span style='font-size:85%'>poner — to put · él/ella/usted</span>","preterito-indefinido irregular es-en"
"<b>he/she put</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>puso</b><br><span style='font-size:85%'>poner — to put · él/ella/usted</span>","preterito-indefinido irregular en-es"
"<b>pusimos</b><br><i>Pretérito perfecto simple</i>","<b>we put</b><br><span style='font-size:85%'>poner — to put · nosotros</span>","preterito-indefinido irregular es-en"
"<b>we put</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>pusimos</b><br><span style='font-size:85%'>poner — to put · nosotros</span>","preterito-indefinido irregular en-es"
"<b>pusisteis</b><br><i>Pretérito perfecto simple</i>","<b>you all put</b><br><span style='font-size:85%'>poner — to put · vosotros</span>","preterito-indefinido irregular es-en"
"<b>you all put</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>pusisteis</b><br><span style='font-size:85%'>poner — to put · vosotros</span>","preterito-indefinido irregular en-es"
