#separator:comma
#html:true
#notetype:Basic
#deck:Spanish::03 Pretérito imperfecto
#columns:Front,Back,Tags
#tags column:3
"Endings at a glance:<br><i>Pretérito imperfecto</i>","<b>-ar</b>: aba · abas · aba · ábamos · abais · aban<br><b>-er / -ir</b>: ía · ías · ía · íamos · íais · ían","imperfecto-indicativo endings"
"<b>we used to be</b><br><span style='font-size:80%'>[identity, essence]</span><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>éramos</b><br><span style='font-size:85%'>ser — to be (identity, essence) · nosotros</span>","imperfecto-indicativo irregular en-es"
"<b>erais</b><br><i>Pretérito imperfecto</i>","<b>you all used to be</b><br><span style='font-size:85%'>ser — to be (identity, essence) · vosotros</span>","imperfecto-indicativo irregular es-en"
"<b>you all used to be</b><br><span style='font-size:80%'>[identity, essence]</span><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>erais</b><br><span style='font-size:85%'>ser — to be (identity, essence) · vosotros</span>","imperfecto-indicativo irregular en-es"
"<b>eran</b><br><i>Pretérito imperfecto</i>","<b>they used to be</b><br><span style='font-size:85%'>ser — to be (identity, essence) · ellos/ellas/ustedes</span>","imperfecto-indicativo irregular es-en"
"<b>they used to be</b><br><span style='font-size:80%'>[identity, essence]</span><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>eran</b><br><span style='font-size:85%'>ser — to be (identity, essence) · ellos/ellas/ustedes</span>","imperfecto-indicativo irregular en-es"
"Full paradigm:<br><b>ser</b> — <i>to be (identity, essence)</i><br><i>Pretérito imperfecto</i>","<table><tr><td>yo</td><td><b>era</b></td></tr><tr><td>tú</td><td><b>eras</b></td></tr><tr><td>él/ella/usted</td><td><b>era</b></td></tr><tr><td>nosotros</td><td><b>éramos</b></td></tr><tr><td>vosotros</td><td><b>erais</b></td></tr><tr><td>ellos/ellas/ustedes</td><td><b>eran</b></td></tr></table>","imperfecto-indicativo fullparadigm irregular"
"<b>iba</b><br><i>Pretérito imperfecto</i>","<b>I used to go</b><br><span style='font-size:85%'>ir — to go · yo</span>","imperfecto-indicativo irregular es-en"
"<b>I used to go</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>iba</b><br><span style='font-size:85%'>ir — to go · yo</span>","imperfecto-indicativo irregular en-es"
"<b>ibas</b><br><i>Pretérito imperfecto</i>","<b>you used to go</b><br><span style='font-size:85%'>ir — to go · tú</span>","imperfecto-indicativo irregular es-en"
"<b>you used to go</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>ibas</b><br><span style='font-size:85%'>ir — to go · tú</span>","imperfecto-indicativo irregular en-es"
"<b>iba</b><br><i>Pretérito imperfecto</i>","<b>he/she used to go</b><br><span style='font-size:85%'>ir — to go · él/ella/usted</span>","imperfecto-indicativo irregular es-en"
"<b>he/she used to go</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>iba</b><br><span style='font-size:85%'>ir — to go · él/ella/usted</span>","imperfecto-indicativo irregular en-es"
"<b>íbamos</b><br><i>Pretérito imperfecto</i>","<b>we used to go</b><br><span style='font-size:85%'>ir — to go · nosotros</span>","imperfecto-indicativo irregular es-en"
"<b>we used to go</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>íbamos</b><br><span style='font-size:85%'>ir — to go · nosotros</span>","imperfecto-indicativo irregular en-es"
"<b>ibais</b><br><i>Pretérito imperfecto</i>","<b>you all used to go</b><br><span style='font-size:85%'>ir — to go · vosotros</span>","imperfecto-indicativo irregular es-en"
"<b>you all used to go</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>ibais</b><br><span style='font-size:85%'>ir — to go · vosotros</span>","imperfecto-indicativo irregular en-es"
"<b>iban</b><br><i>Pretérito imperfecto</i>","<b>they used to go</b><br><span style='font-size:85%'>ir — to go · ellos/ellas/ustedes</span>","imperfecto-indicativo irregular es-en"
"<b>they used to go</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>iban</b><br><span style='font-size:85%'>ir — to go · ellos/ellas/ustedes</span>","imperfecto-indicativo irregular en-es"
"Full paradigm:<br><b>ir</b> — <i>to go</i><br><i>Pretérito imperfecto</i>","<table><tr><td>yo</td><td><b>iba</b></td></tr><tr><td>tú</td><td><b>ibas</b></td></tr><tr><td>él/ella/usted</td><td><b>iba</b></td></tr><tr><td>nosotros</td><td><b>íbamos</b></td></tr><tr><td>vosotros</td><td><b>ibais</b></td></tr><tr><td>ellos/ellas/ustedes</td><td><b>iban</b></td></tr></table>","imperfecto-indicativo fullparadigm irregular"
"<b>veía</b><br><i>Pretérito imperfecto</i>","<b>I used to see</b><br><span style='font-size:85%'>ver — to see · yo</span>","imperfecto-indicativo irregular es-en"
"<b>I used to see</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>veía</b><br><span style='font-size:85%'>ver — to see · yo</span>","imperfecto-indicativo irregular en-es"
"<b>veías</b><br><i>Pretérito imperfecto</i>","<b>you used to see</b><br><span style='font-size:85%'>ver — to see · tú</span>","imperfecto-indicativo irregular es-en"
"<b>you used to see</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>veías</b><br><span style='font-size:85%'>ver — to see · tú</span>","imperfecto-indicativo irregular en-es"
"<b>veía</b><br><i>Pretérito imperfecto</i>","<b>he/she used to see</b><br><span style='font-size:85%'>ver — to see · él/ella/usted</span>","imperfecto-indicativo irregular es-en"
"<b>he/she used to see</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>veía</b><br><span style='font-size:85%'>ver — to see · él/ella/usted</span>","imperfecto-indicativo irregular en-es"
"<b>veíamos</b><br><i>Pretérito imperfecto</i>","<b>we used to see</b><br><span style='font-size:85%'>ver — to see · nosotros</span>","imperfecto-indicativo irregular es-en"
"<b>we used to see</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>veíamos</b><br><span style='font-size:85%'>ver — to see · nosotros</span>","imperfecto-indicativo irregular en-es"
"<b>veíais</b><br><i>Pretérito imperfecto</i>","<b>you all used to see</b><br><span style='font-size:85%'>ver — to see · vosotros</span>","imperfecto-indicativo irregular es-en"
"<b>you all used to see</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>veíais</b><br><span style='font-size:85%'>ver — to see · vosotros</span>","imperfecto-indicativo irregular en-es"
"<b>veían</b><br><i>Pretérito imperfecto</i>","<b>they used to see</b><br><span style='font-size:85%'>ver — to see · ellos/ellas/ustedes</span>","imperfecto-indicativo irregular es-en"
"<b>they used to see</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>veían</b><br><span style='font-size:85%'>ver — to see · ellos/ellas/ustedes</span>","imperfecto-indicativo irregular en-es"
"Full paradigm:<br><b>ver</b> — <i>to see</i><br><i>Pretérito imperfecto</i>","<table><tr><td>yo</td><td><b>veía</b></td></tr><tr><td>tú</td><td><b>veías</b></td></tr><tr><td>él/ella/usted</td><td><b>veía</b></td></tr><tr><td>nosotros</td><td><b>veíamos</b></td></tr><tr><td>vosotros</td><td><b>veíais</b></td></tr><tr><td>ellos/ellas/ustedes</td><td><b>veían</b></td></tr></table>","imperfecto-indicativo fullparadigm irregular"
"How many irregular verbs does the <b>imperfect indicative</b> have?","<b>Three</b>, in the entire language: <b>ser</b> (era), <b>ir</b> (iba), <b>ver</b> (veía).","imperfecto-indicativo irregular pattern"
"<b>When and why</b> do you use the<br><i>Pretérito imperfecto</i>?","The past <b>without edges</b> — in progress, repeated, or simply the state of things.<ul><li><b>Habitual past</b> — <i>de niño jugaba al fútbol.</i> ('used to', 'would')</li><li><b>Action in progress</b> — <i>llovía cuando salí.</i></li><li><b>Description and background</b> — <i>la casa era grande y tenía un jardín.</i></li><li><b>Age, time, weather, physical and mental states</b> — <i>tenía diez años; eran las tres; hacía frío; estaba cansado.</i></li><li><b>Two simultaneous ongoing actions</b> — <i>mientras cocinaba, escuchaba la radio.</i></li><li><b>Politeness</b> — <i>quería preguntarte algo.</i></li></ul>","imperfecto-indicativo usage concept"
"Verbs that <b>shift meaning</b> between imperfect and preterite","<table><tr><td>saber</td><td>sabía = I knew</td><td>supe = I found out</td></tr><tr><td>conocer</td><td>conocía = I knew (a person)</td><td>conocí = I met</td></tr><tr><td>querer</td><td>quería = I wanted</td><td>quise = I tried / no quise = I refused</td></tr><tr><td>poder</td><td>podía = I was able</td><td>pude = I managed</td></tr><tr><td>tener</td><td>tenía = I had</td><td>tuve = I got, I received</td></tr></table>","imperfecto-indicativo usage"
"<b>Tricks and tips</b> for the<br><i>Pretérito imperfecto</i>","<ul><li><b>The easiest tense in Spanish</b>: two ending sets, three exceptions, no stem changes ever.</li><li><b>-er and -ir are identical.</b></li><li><b>yo and él are the same</b> (<i>hablaba, comía</i>) — use the pronoun when it matters.</li><li>Accents: -ar verbs carry one, on nosotros (<i>hablábamos</i>); -er/-ir carry one in every form.</li><li><b>Test phrase</b>: if 'used to' or 'was ~ing' fits the English, the imperfect is almost certainly right.</li><li>Triggers: <i>siempre, todos los días, mientras, cada año, normalmente, de niño</i> → imperfect. <i>Ayer, anoche, el año pasado, de repente, una vez</i> → preterite.</li></ul>","imperfecto-indicativo tips concept"
