#separator:comma
#html:true
#notetype:Basic
#deck:Spanish::05 Pretérito perfecto compuesto
#columns:Front,Back,Tags
#tags column:3
"How is the <b>Pretérito perfecto compuesto</b> formed?","<b>haber in the <b>present</b></b> + past participle<br><br>he · has · ha · hemos · habéis · han<br><br>Participles: -ar → <b>-ado</b> · -er/-ir → <b>-ido</b>","preterito-perfecto-compuesto formation"
"<b>ha comido</b><br><i>Pretérito perfecto compuesto</i>","<b>he/she has eaten</b><br><span style='font-size:85%'>comer — to eat · él/ella/usted</span>","preterito-perfecto-compuesto regular es-en"
"<b>he/she has eaten</b><br><i>Pretérito perfecto compuesto</i>","<b>ha comido</b><br><span style='font-size:85%'>comer — to eat · él/ella/usted</span>","preterito-perfecto-compuesto regular en-es"
"<b>hemos comido</b><br><i>Pretérito perfecto compuesto</i>","<b>we have eaten</b><br><span style='font-size:85%'>comer — to eat · nosotros</span>","preterito-perfecto-compuesto regular es-en"
"<b>we have eaten</b><br><i>Pretérito perfecto compuesto</i>","<b>hemos comido</b><br><span style='font-size:85%'>comer — to eat · nosotros</span>","preterito-perfecto-compuesto regular en-es"
"<b>habéis comido</b><br><i>Pretérito perfecto compuesto</i>","<b>you all have eaten</b><br><span style='font-size:85%'>comer — to eat · vosotros</span>","preterito-perfecto-compuesto regular es-en"
"<b>you all have eaten</b><br><i>Pretérito perfecto compuesto</i>","<b>habéis comido</b><br><span style='font-size:85%'>comer — to eat · vosotros</span>","preterito-perfecto-compuesto regular en-es"
"<b>han comido</b><br><i>Pretérito perfecto compuesto</i>","<b>they have eaten</b><br><span style='font-size:85%'>comer — to eat · ellos/ellas/ustedes</span>","preterito-perfecto-compuesto regular es-en"
"<b>they have eaten</b><br><i>Pretérito perfecto compuesto</i>","<b>han comido</b><br><span style='font-size:85%'>comer — to eat · ellos/ellas/ustedes</span>","preterito-perfecto-compuesto regular en-es"
"<b>he vivido</b><br><i>Pretérito perfecto compuesto</i>","<b>I have lived</b><br><span style='font-size:85%'>vivir — to live · yo</span>","preterito-perfecto-compuesto regular es-en"
"<b>I have lived</b><br><i>Pretérito perfecto compuesto</i>","<b>he vivido</b><br><span style='font-size:85%'>vivir — to live · yo</span>","preterito-perfecto-compuesto regular en-es"
"<b>has vivido</b><br><i>Pretérito perfecto compuesto</i>","<b>you have lived</b><br><span style='font-size:85%'>vivir — to live · tú</span>","preterito-perfecto-compuesto regular es-en"
"<b>you have lived</b><br><i>Pretérito perfecto compuesto</i>","<b>has vivido</b><br><span style='font-size:85%'>vivir — to live · tú</span>","preterito-perfecto-compuesto regular en-es"
"<b>ha vivido</b><br><i>Pretérito perfecto compuesto</i>","<b>he/she has lived</b><br><span style='font-size:85%'>vivir — to live · él/ella/usted</span>","preterito-perfecto-compuesto regular es-en"
"<b>he/she has lived</b><br><i>Pretérito perfecto compuesto</i>","<b>ha vivido</b><br><span style='font-size:85%'>vivir — to live · él/ella/usted</span>","preterito-perfecto-compuesto regular en-es"
"<b>hemos vivido</b><br><i>Pretérito perfecto compuesto</i>","<b>we have lived</b><br><span style='font-size:85%'>vivir — to live · nosotros</span>","preterito-perfecto-compuesto regular es-en"
"<b>we have lived</b><br><i>Pretérito perfecto compuesto</i>","<b>hemos vivido</b><br><span style='font-size:85%'>vivir — to live · nosotros</span>","preterito-perfecto-compuesto regular en-es"
"<b>habéis vivido</b><br><i>Pretérito perfecto compuesto</i>","<b>you all have lived</b><br><span style='font-size:85%'>vivir — to live · vosotros</span>","preterito-perfecto-compuesto regular es-en"
"<b>you all have lived</b><br><i>Pretérito perfecto compuesto</i>","<b>habéis vivido</b><br><span style='font-size:85%'>vivir — to live · vosotros</span>","preterito-perfecto-compuesto regular en-es"
"<b>han vivido</b><br><i>Pretérito perfecto compuesto</i>","<b>they have lived</b><br><span style='font-size:85%'>vivir — to live · ellos/ellas/ustedes</span>","preterito-perfecto-compuesto regular es-en"
"<b>they have lived</b><br><i>Pretérito perfecto compuesto</i>","<b>han vivido</b><br><span style='font-size:85%'>vivir — to live · ellos/ellas/ustedes</span>","preterito-perfecto-compuesto regular en-es"
"Full paradigm:<br><b>haber (auxiliary)</b> — <i>haber (auxiliary)</i><br><i>Pretérito perfecto compuesto</i>","<table><tr><td>yo</td><td><b>he</b></td></tr><tr><td>tú</td><td><b>has</b></td></tr><tr><td>él/ella/usted</td><td><b>ha</b></td></tr><tr><td>nosotros</td><td><b>hemos</b></td></tr><tr><td>vosotros</td><td><b>habéis</b></td></tr><tr><td>ellos/ellas/ustedes</td><td><b>han</b></td></tr></table>","preterito-perfecto-compuesto fullparadigm auxiliary"
"<b>he hecho</b><br><i>Pretérito perfecto compuesto</i>","<b>I have done</b><br><span style='font-size:85%'>hacer — to do (do or make) · yo</span>","preterito-perfecto-compuesto irregular-participle es-en"
"<b>I have done</b><br><span style='font-size:80%'>[do or make]</span><br><i>Pretérito perfecto compuesto</i>","<b>he hecho</b><br><span style='font-size:85%'>hacer — to do (do or make) · yo</span>","preterito-perfecto-compuesto irregular-participle en-es"
"<b>has hecho</b><br><i>Pretérito perfecto compuesto</i>","<b>you have done</b><br><span style='font-size:85%'>hacer — to do (do or make) · tú</span>","preterito-perfecto-compuesto irregular-participle es-en"
"<b>you have done</b><br><span style='font-size:80%'>[do or make]</span><br><i>Pretérito perfecto compuesto</i>","<b>has hecho</b><br><span style='font-size:85%'>hacer — to do (do or make) · tú</span>","preterito-perfecto-compuesto irregular-participle en-es"
"<b>ha hecho</b><br><i>Pretérito perfecto compuesto</i>","<b>he/she has done</b><br><span style='font-size:85%'>hacer — to do (do or make) · él/ella/usted</span>","preterito-perfecto-compuesto irregular-participle es-en"
"<b>he/she has done</b><br><span style='font-size:80%'>[do or make]</span><br><i>Pretérito perfecto compuesto</i>","<b>ha hecho</b><br><span style='font-size:85%'>hacer — to do (do or make) · él/ella/usted</span>","preterito-perfecto-compuesto irregular-participle en-es"
"<b>hemos hecho</b><br><i>Pretérito perfecto compuesto</i>","<b>we have done</b><br><span style='font-size:85%'>hacer — to do (do or make) · nosotros</span>","preterito-perfecto-compuesto irregular-participle es-en"
"<b>we have done</b><br><span style='font-size:80%'>[do or make]</span><br><i>Pretérito perfecto compuesto</i>","<b>hemos hecho</b><br><span style='font-size:85%'>hacer — to do (do or make) · nosotros</span>","preterito-perfecto-compuesto irregular-participle en-es"
"<b>habéis hecho</b><br><i>Pretérito perfecto compuesto</i>","<b>you all have done</b><br><span style='font-size:85%'>hacer — to do (do or make) · vosotros</span>","preterito-perfecto-compuesto irregular-participle es-en"
"<b>you all have done</b><br><span style='font-size:80%'>[do or make]</span><br><i>Pretérito perfecto compuesto</i>","<b>habéis hecho</b><br><span style='font-size:85%'>hacer — to do (do or make) · vosotros</span>","preterito-perfecto-compuesto irregular-participle en-es"
"<b>han hecho</b><br><i>Pretérito perfecto compuesto</i>","<b>they have done</b><br><span style='font-size:85%'>hacer — to do (do or make) · ellos/ellas/ustedes</span>","preterito-perfecto-compuesto irregular-participle es-en"
"<b>they have done</b><br><span style='font-size:80%'>[do or make]</span><br><i>Pretérito perfecto compuesto</i>","<b>han hecho</b><br><span style='font-size:85%'>hacer — to do (do or make) · ellos/ellas/ustedes</span>","preterito-perfecto-compuesto irregular-participle en-es"
"<b>he dicho</b><br><i>Pretérito perfecto compuesto</i>","<b>I have said</b><br><span style='font-size:85%'>decir — to say (say or tell) · yo</span>","preterito-perfecto-compuesto irregular-participle es-en"
"<b>I have said</b><br><span style='font-size:80%'>[say or tell]</span><br><i>Pretérito perfecto compuesto</i>","<b>he dicho</b><br><span style='font-size:85%'>decir — to say (say or tell) · yo</span>","preterito-perfecto-compuesto irregular-participle en-es"
"<b>has dicho</b><br><i>Pretérito perfecto compuesto</i>","<b>you have said</b><br><span style='font-size:85%'>decir — to say (say or tell) · tú</span>","preterito-perfecto-compuesto irregular-participle es-en"
"<b>you have said</b><br><span style='font-size:80%'>[say or tell]</span><br><i>Pretérito perfecto compuesto</i>","<b>has dicho</b><br><span style='font-size:85%'>decir — to say (say or tell) · tú</span>","preterito-perfecto-compuesto irregular-participle en-es"
"<b>ha dicho</b><br><i>Pretérito perfecto compuesto</i>","<b>he/she has said</b><br><span style='font-size:85%'>decir — to say (say or tell) · él/ella/usted</span>","preterito-perfecto-compuesto irregular-participle es-en"
"<b>he/she has said</b><br><span style='font-size:80%'>[say or tell]</span><br><i>Pretérito perfecto compuesto</i>","<b>ha dicho</b><br><span style='font-size:85%'>decir — to say (say or tell) · él/ella/usted</span>","preterito-perfecto-compuesto irregular-participle en-es"
"<b>hemos dicho</b><br><i>Pretérito perfecto compuesto</i>","<b>we have said</b><br><span style='font-size:85%'>decir — to say (say or tell) · nosotros</span>","preterito-perfecto-compuesto irregular-participle es-en"
"<b>we have said</b><br><span style='font-size:80%'>[say or tell]</span><br><i>Pretérito perfecto compuesto</i>","<b>hemos dicho</b><br><span style='font-size:85%'>decir — to say (say or tell) · nosotros</span>","preterito-perfecto-compuesto irregular-participle en-es"
"<b>habéis dicho</b><br><i>Pretérito perfecto compuesto</i>","<b>you all have said</b><br><span style='font-size:85%'>decir — to say (say or tell) · vosotros</span>","preterito-perfecto-compuesto irregular-participle es-en"
"<b>you all have said</b><br><span style='font-size:80%'>[say or tell]</span><br><i>Pretérito perfecto compuesto</i>","<b>habéis dicho</b><br><span style='font-size:85%'>decir — to say (say or tell) · vosotros</span>","preterito-perfecto-compuesto irregular-participle en-es"
"<b>han dicho</b><br><i>Pretérito perfecto compuesto</i>","<b>they have said</b><br><span style='font-size:85%'>decir — to say (say or tell) · ellos/ellas/ustedes</span>","preterito-perfecto-compuesto irregular-participle es-en"
"<b>they have said</b><br><span style='font-size:80%'>[say or tell]</span><br><i>Pretérito perfecto compuesto</i>","<b>han dicho</b><br><span style='font-size:85%'>decir — to say (say or tell) · ellos/ellas/ustedes</span>","preterito-perfecto-compuesto irregular-participle en-es"
"<b>he visto</b><br><i>Pretérito perfecto compuesto</i>","<b>I have seen</b><br><span style='font-size:85%'>ver — to see · yo</span>","preterito-perfecto-compuesto irregular-participle es-en"
"<b>I have seen</b><br><i>Pretérito perfecto compuesto</i>","<b>he visto</b><br><span style='font-size:85%'>ver — to see · yo</span>","preterito-perfecto-compuesto irregular-participle en-es"
"<b>has visto</b><br><i>Pretérito perfecto compuesto</i>","<b>you have seen</b><br><span style='font-size:85%'>ver — to see · tú</span>","preterito-perfecto-compuesto irregular-participle es-en"
"<b>you have seen</b><br><i>Pretérito perfecto compuesto</i>","<b>has visto</b><br><span style='font-size:85%'>ver — to see · tú</span>","preterito-perfecto-compuesto irregular-participle en-es"
"<b>ha visto</b><br><i>Pretérito perfecto compuesto</i>","<b>he/she has seen</b><br><span style='font-size:85%'>ver — to see · él/ella/usted</span>","preterito-perfecto-compuesto irregular-participle es-en"
"<b>he/she has seen</b><br><i>Pretérito perfecto compuesto</i>","<b>ha visto</b><br><span style='font-size:85%'>ver — to see · él/ella/usted</span>","preterito-perfecto-compuesto irregular-participle en-es"
"<b>hemos visto</b><br><i>Pretérito perfecto compuesto</i>","<b>we have seen</b><br><span style='font-size:85%'>ver — to see · nosotros</span>","preterito-perfecto-compuesto irregular-participle es-en"
"<b>we have seen</b><br><i>Pretérito perfecto compuesto</i>","<b>hemos visto</b><br><span style='font-size:85%'>ver — to see · nosotros</span>","preterito-perfecto-compuesto irregular-participle en-es"
"<b>habéis visto</b><br><i>Pretérito perfecto compuesto</i>","<b>you all have seen</b><br><span style='font-size:85%'>ver — to see · vosotros</span>","preterito-perfecto-compuesto irregular-participle es-en"
"<b>you all have seen</b><br><i>Pretérito perfecto compuesto</i>","<b>habéis visto</b><br><span style='font-size:85%'>ver — to see · vosotros</span>","preterito-perfecto-compuesto irregular-participle en-es"
"<b>han visto</b><br><i>Pretérito perfecto compuesto</i>","<b>they have seen</b><br><span style='font-size:85%'>ver — to see · ellos/ellas/ustedes</span>","preterito-perfecto-compuesto irregular-participle es-en"
"<b>they have seen</b><br><i>Pretérito perfecto compuesto</i>","<b>han visto</b><br><span style='font-size:85%'>ver — to see · ellos/ellas/ustedes</span>","preterito-perfecto-compuesto irregular-participle en-es"
"<b>he puesto</b><br><i>Pretérito perfecto compuesto</i>","<b>I have put</b><br><span style='font-size:85%'>poner — to put · yo</span>","preterito-perfecto-compuesto irregular-participle es-en"
"<b>I have put</b><br><i>Pretérito perfecto compuesto</i>","<b>he puesto</b><br><span style='font-size:85%'>poner — to put · yo</span>","preterito-perfecto-compuesto irregular-participle en-es"
"<b>has puesto</b><br><i>Pretérito perfecto compuesto</i>","<b>you have put</b><br><span style='font-size:85%'>poner — to put · tú</span>","preterito-perfecto-compuesto irregular-participle es-en"
"<b>you have put</b><br><i>Pretérito perfecto compuesto</i>","<b>has puesto</b><br><span style='font-size:85%'>poner — to put · tú</span>","preterito-perfecto-compuesto irregular-participle en-es"
"<b>ha puesto</b><br><i>Pretérito perfecto compuesto</i>","<b>he/she has put</b><br><span style='font-size:85%'>poner — to put · él/ella/usted</span>","preterito-perfecto-compuesto irregular-participle es-en"
"<b>he/she has put</b><br><i>Pretérito perfecto compuesto</i>","<b>ha puesto</b><br><span style='font-size:85%'>poner — to put · él/ella/usted</span>","preterito-perfecto-compuesto irregular-participle en-es"
"<b>hemos puesto</b><br><i>Pretérito perfecto compuesto</i>","<b>we have put</b><br><span style='font-size:85%'>poner — to put · nosotros</span>","preterito-perfecto-compuesto irregular-participle es-en"
"<b>we have put</b><br><i>Pretérito perfecto compuesto</i>","<b>hemos puesto</b><br><span style='font-size:85%'>poner — to put · nosotros</span>","preterito-perfecto-compuesto irregular-participle en-es"
"<b>habéis puesto</b><br><i>Pretérito perfecto compuesto</i>","<b>you all have put</b><br><span style='font-size:85%'>poner — to put · vosotros</span>","preterito-perfecto-compuesto irregular-participle es-en"
"<b>you all have put</b><br><i>Pretérito perfecto compuesto</i>","<b>habéis puesto</b><br><span style='font-size:85%'>poner — to put · vosotros</span>","preterito-perfecto-compuesto irregular-participle en-es"
"<b>han puesto</b><br><i>Pretérito perfecto compuesto</i>","<b>they have put</b><br><span style='font-size:85%'>poner — to put · ellos/ellas/ustedes</span>","preterito-perfecto-compuesto irregular-participle es-en"
"<b>they have put</b><br><i>Pretérito perfecto compuesto</i>","<b>han puesto</b><br><span style='font-size:85%'>poner — to put · ellos/ellas/ustedes</span>","preterito-perfecto-compuesto irregular-participle en-es"
"The irregular <b>past participles</b>","<table><tr><td>hacer</td><td><b>hecho</b></td></tr><tr><td>decir</td><td><b>dicho</b></td></tr><tr><td>ver</td><td><b>visto</b></td></tr><tr><td>poner</td><td><b>puesto</b></td></tr><tr><td>escribir</td><td><b>escrito</b></td></tr><tr><td>volver</td><td><b>vuelto</b></td></tr><tr><td>abrir</td><td><b>abierto</b></td></tr><tr><td>romper</td><td><b>roto</b></td></tr><tr><td>morir</td><td><b>muerto</b></td></tr><tr><td>cubrir</td><td><b>cubierto</b></td></tr><tr><td>resolver</td><td><b>resuelto</b></td></tr><tr><td>devolver</td><td><b>devuelto</b></td></tr><tr><td>descubrir</td><td><b>descubierto</b></td></tr><tr><td>describir</td><td><b>descrito</b></td></tr><tr><td>satisfacer</td><td><b>satisfecho</b></td></tr><tr><td>imprimir</td><td><b>impreso / imprimido</b></td></tr><tr><td>freír</td><td><b>frito / freído</b></td></tr><tr><td>proveer</td><td><b>provisto / proveído</b></td></tr></table>","preterito-perfecto-compuesto irregular-participle"
"<b>When and why</b> do you use the<br><i>Pretérito perfecto compuesto</i>?","A past event <b>connected to the present</b> — the time frame is still open, or the result still matters.<ul><li><b>Within an unclosed period</b> — <i>hoy he trabajado mucho; esta semana he ido tres veces.</i></li><li><b>Recent past</b> — <i>he llegado hace un momento.</i></li><li><b>Life experience, no date given</b> — <i>¿has estado en México?; nunca he visto la nieve.</i></li><li><b>Present relevance</b> — <i>he perdido las llaves</i> — and I still don't have them.</li></ul><b>Regional split</b>: in Spain this is the default for anything today (<i>hoy he comido tarde</i>). In most of Latin America the simple preterite covers that ground (<i>hoy comí tarde</i>).","preterito-perfecto-compuesto usage concept"
"<b>Tricks and tips</b> for the<br><i>Pretérito perfecto compuesto</i>","<ul><li><b>Learn the irregular participle list once</b> — it serves this and five other compound tenses.</li><li><b>The participle never agrees</b> in compound tenses: <i>ella ha hablado, ellas han comido</i>.</li><li><b>Nothing comes between haber and the participle</b>: <i>no lo he visto</i>, never <i>he lo visto</i>.</li><li>Accents break vowel clusters: leído, oído, traído, caído.</li><li>Time markers that select it in Spain: <i>hoy, esta mañana, esta semana, ya, todavía no, nunca, alguna vez, últimamente</i>.</li></ul>","preterito-perfecto-compuesto tips concept"
"Past participle of <b>leer</b>","<b>leído</b> — written accent breaks the vowel cluster","preterito-perfecto-compuesto irregular-participle"
"Past participle of <b>oír</b>","<b>oído</b> — written accent breaks the vowel cluster","preterito-perfecto-compuesto irregular-participle"
"Past participle of <b>traer</b>","<b>traído</b> — written accent breaks the vowel cluster","preterito-perfecto-compuesto irregular-participle"
"Past participle of <b>caer</b>","<b>caído</b> — written accent breaks the vowel cluster","preterito-perfecto-compuesto irregular-participle"
"Past participle of <b>hacer</b>","<b>hecho</b>","preterito-perfecto-compuesto irregular-participle"
"Past participle of <b>decir</b>","<b>dicho</b>","preterito-perfecto-compuesto irregular-participle"
"Past participle of <b>ver</b>","<b>visto</b>","preterito-perfecto-compuesto irregular-participle"
"Past participle of <b>poner</b>","<b>puesto</b>","preterito-perfecto-compuesto irregular-participle"
"Past participle of <b>escribir</b>","<b>escrito</b>","preterito-perfecto-compuesto irregular-participle"
"Past participle of <b>volver</b>","<b>vuelto</b>","preterito-perfecto-compuesto irregular-participle"
"Past participle of <b>abrir</b>","<b>abierto</b>","preterito-perfecto-compuesto irregular-participle"
"Past participle of <b>romper</b>","<b>roto</b>","preterito-perfecto-compuesto irregular-participle"
"Past participle of <b>morir</b>","<b>muerto</b>","preterito-perfecto-compuesto irregular-participle"
"Past participle of <b>cubrir</b>","<b>cubierto</b>","preterito-perfecto-compuesto irregular-participle"
"Past participle of <b>resolver</b>","<b>resuelto</b>","preterito-perfecto-compuesto irregular-participle"
"Past participle of <b>devolver</b>","<b>devuelto</b>","preterito-perfecto-compuesto irregular-participle"
"Past participle of <b>descubrir</b>","<b>descubierto</b>","preterito-perfecto-compuesto irregular-participle"
"Past participle of <b>describir</b>","<b>descrito</b>","preterito-perfecto-compuesto irregular-participle"
"Past participle of <b>satisfacer</b>","<b>satisfecho</b>","preterito-perfecto-compuesto irregular-participle"
"Past participle of <b>imprimir</b>","<b>impreso / imprimido</b>","preterito-perfecto-compuesto irregular-participle"
"Past participle of <b>freír</b>","<b>frito / freído</b>","preterito-perfecto-compuesto irregular-participle"
"Past participle of <b>proveer</b>","<b>provisto / proveído</b>","preterito-perfecto-compuesto irregular-participle"
