#separator:comma
#html:true
#notetype:Basic
#deck:Spanish::01 Presente de indicativo
#columns:Front,Back,Tags
#tags column:3
"Endings at a glance:<br><i>Presente de indicativo</i>","<b>-ar</b>: o · as · a · amos · áis · an<br><b>-er</b>: o · es · e · emos · éis · en<br><b>-ir</b>: o · es · e · <b>imos</b> · <b>ís</b> · en","presente-indicativo endings"
"<b>I am</b><br><span style='font-size:80%'>[identity, essence]</span><br><i>Presente de indicativo</i>","<b>soy</b><br><span style='font-size:85%'>ser — to be (identity, essence) · yo</span>","presente-indicativo irregular en-es"
"<b>eres</b><br><i>Presente de indicativo</i>","<b>you are</b><br><span style='font-size:85%'>ser — to be (identity, essence) · tú</span>","presente-indicativo irregular es-en"
"<b>you are</b><br><span style='font-size:80%'>[identity, essence]</span><br><i>Presente de indicativo</i>","<b>eres</b><br><span style='font-size:85%'>ser — to be (identity, essence) · tú</span>","presente-indicativo irregular en-es"
"<b>es</b><br><i>Presente de indicativo</i>","<b>he/she is</b><br><span style='font-size:85%'>ser — to be (identity, essence) · él/ella/usted</span>","presente-indicativo irregular es-en"
"<b>he/she is</b><br><span style='font-size:80%'>[identity, essence]</span><br><i>Presente de indicativo</i>","<b>es</b><br><span style='font-size:85%'>ser — to be (identity, essence) · él/ella/usted</span>","presente-indicativo irregular en-es"
"<b>somos</b><br><i>Presente de indicativo</i>","<b>we are</b><br><span style='font-size:85%'>ser — to be (identity, essence) · nosotros</span>","presente-indicativo irregular es-en"
"<b>we are</b><br><span style='font-size:80%'>[identity, essence]</span><br><i>Presente de indicativo</i>","<b>somos</b><br><span style='font-size:85%'>ser — to be (identity, essence) · nosotros</span>","presente-indicativo irregular en-es"
"<b>sois</b><br><i>Presente de indicativo</i>","<b>you all are</b><br><span style='font-size:85%'>ser — to be (identity, essence) · vosotros</span>","presente-indicativo irregular es-en"
"<b>you all are</b><br><span style='font-size:80%'>[identity, essence]</span><br><i>Presente de indicativo</i>","<b>sois</b><br><span style='font-size:85%'>ser — to be (identity, essence) · vosotros</span>","presente-indicativo irregular en-es"
"<b>son</b><br><i>Presente de indicativo</i>","<b>they are</b><br><span style='font-size:85%'>ser — to be (identity, essence) · ellos/ellas/ustedes</span>","presente-indicativo irregular es-en"
"<b>they are</b><br><span style='font-size:80%'>[identity, essence]</span><br><i>Presente de indicativo</i>","<b>son</b><br><span style='font-size:85%'>ser — to be (identity, essence) · ellos/ellas/ustedes</span>","presente-indicativo irregular en-es"
"<b>estoy</b><br><i>Presente de indicativo</i>","<b>I am</b><br><span style='font-size:85%'>estar — to be (state, location) · yo</span>","presente-indicativo irregular es-en"
"<b>I am</b><br><span style='font-size:80%'>[state, location]</span><br><i>Presente de indicativo</i>","<b>estoy</b><br><span style='font-size:85%'>estar — to be (state, location) · yo</span>","presente-indicativo irregular en-es"
"<b>estás</b><br><i>Presente de indicativo</i>","<b>you are</b><br><span style='font-size:85%'>estar — to be (state, location) · tú</span>","presente-indicativo irregular es-en"
"<b>you are</b><br><span style='font-size:80%'>[state, location]</span><br><i>Presente de indicativo</i>","<b>estás</b><br><span style='font-size:85%'>estar — to be (state, location) · tú</span>","presente-indicativo irregular en-es"
"<b>está</b><br><i>Presente de indicativo</i>","<b>he/she is</b><br><span style='font-size:85%'>estar — to be (state, location) · él/ella/usted</span>","presente-indicativo irregular es-en"
"<b>he/she is</b><br><span style='font-size:80%'>[state, location]</span><br><i>Presente de indicativo</i>","<b>está</b><br><span style='font-size:85%'>estar — to be (state, location) · él/ella/usted</span>","presente-indicativo irregular en-es"
"<b>estamos</b><br><i>Presente de indicativo</i>","<b>we are</b><br><span style='font-size:85%'>estar — to be (state, location) · nosotros</span>","presente-indicativo irregular es-en"
"<b>we are</b><br><span style='font-size:80%'>[state, location]</span><br><i>Presente de indicativo</i>","<b>estamos</b><br><span style='font-size:85%'>estar — to be (state, location) · nosotros</span>","presente-indicativo irregular en-es"
"<b>estáis</b><br><i>Presente de indicativo</i>","<b>you all are</b><br><span style='font-size:85%'>estar — to be (state, location) · vosotros</span>","presente-indicativo irregular es-en"
"<b>you all are</b><br><span style='font-size:80%'>[state, location]</span><br><i>Presente de indicativo</i>","<b>estáis</b><br><span style='font-size:85%'>estar — to be (state, location) · vosotros</span>","presente-indicativo irregular en-es"
"<b>están</b><br><i>Presente de indicativo</i>","<b>they are</b><br><span style='font-size:85%'>estar — to be (state, location) · ellos/ellas/ustedes</span>","presente-indicativo irregular es-en"
"<b>they are</b><br><span style='font-size:80%'>[state, location]</span><br><i>Presente de indicativo</i>","<b>están</b><br><span style='font-size:85%'>estar — to be (state, location) · ellos/ellas/ustedes</span>","presente-indicativo irregular en-es"
"<b>voy</b><br><i>Presente de indicativo</i>","<b>I go</b><br><span style='font-size:85%'>ir — to go · yo</span>","presente-indicativo irregular es-en"
"<b>I go</b><br><i>Presente de indicativo</i>","<b>voy</b><br><span style='font-size:85%'>ir — to go · yo</span>","presente-indicativo irregular en-es"
"<b>vas</b><br><i>Presente de indicativo</i>","<b>you go</b><br><span style='font-size:85%'>ir — to go · tú</span>","presente-indicativo irregular es-en"
"<b>you go</b><br><i>Presente de indicativo</i>","<b>vas</b><br><span style='font-size:85%'>ir — to go · tú</span>","presente-indicativo irregular en-es"
"<b>va</b><br><i>Presente de indicativo</i>","<b>he/she goes</b><br><span style='font-size:85%'>ir — to go · él/ella/usted</span>","presente-indicativo irregular es-en"
"<b>he/she goes</b><br><i>Presente de indicativo</i>","<b>va</b><br><span style='font-size:85%'>ir — to go · él/ella/usted</span>","presente-indicativo irregular en-es"
"<b>vamos</b><br><i>Presente de indicativo</i>","<b>we go</b><br><span style='font-size:85%'>ir — to go · nosotros</span>","presente-indicativo irregular es-en"
"<b>we go</b><br><i>Presente de indicativo</i>","<b>vamos</b><br><span style='font-size:85%'>ir — to go · nosotros</span>","presente-indicativo irregular en-es"
"<b>vais</b><br><i>Presente de indicativo</i>","<b>you all go</b><br><span style='font-size:85%'>ir — to go · vosotros</span>","presente-indicativo irregular es-en"
"<b>you all go</b><br><i>Presente de indicativo</i>","<b>vais</b><br><span style='font-size:85%'>ir — to go · vosotros</span>","presente-indicativo irregular en-es"
"<b>van</b><br><i>Presente de indicativo</i>","<b>they go</b><br><span style='font-size:85%'>ir — to go · ellos/ellas/ustedes</span>","presente-indicativo irregular es-en"
"<b>they go</b><br><i>Presente de indicativo</i>","<b>van</b><br><span style='font-size:85%'>ir — to go · ellos/ellas/ustedes</span>","presente-indicativo irregular en-es"
"<b>he</b><br><i>Presente de indicativo</i>","<b>I have</b><br><span style='font-size:85%'>haber — to have (auxiliary — used with a participle) · yo</span>","presente-indicativo irregular es-en"
"<b>I have</b><br><span style='font-size:80%'>[auxiliary — used with a participle]</span><br><i>Presente de indicativo</i>","<b>he</b><br><span style='font-size:85%'>haber — to have (auxiliary — used with a participle) · yo</span>","presente-indicativo irregular en-es"
"<b>has</b><br><i>Presente de indicativo</i>","<b>you have</b><br><span style='font-size:85%'>haber — to have (auxiliary — used with a participle) · tú</span>","presente-indicativo irregular es-en"
"<b>you have</b><br><span style='font-size:80%'>[auxiliary — used with a participle]</span><br><i>Presente de indicativo</i>","<b>has</b><br><span style='font-size:85%'>haber — to have (auxiliary — used with a participle) · tú</span>","presente-indicativo irregular en-es"
"<b>ha</b><br><i>Presente de indicativo</i>","<b>he/she has</b><br><span style='font-size:85%'>haber — to have (auxiliary — used with a participle) · él/ella/usted</span>","presente-indicativo irregular es-en"
"<b>he/she has</b><br><span style='font-size:80%'>[auxiliary — used with a participle]</span><br><i>Presente de indicativo</i>","<b>ha</b><br><span style='font-size:85%'>haber — to have (auxiliary — used with a participle) · él/ella/usted</span>","presente-indicativo irregular en-es"
"<b>hemos</b><br><i>Presente de indicativo</i>","<b>we have</b><br><span style='font-size:85%'>haber — to have (auxiliary — used with a participle) · nosotros</span>","presente-indicativo irregular es-en"
"<b>we have</b><br><span style='font-size:80%'>[auxiliary — used with a participle]</span><br><i>Presente de indicativo</i>","<b>hemos</b><br><span style='font-size:85%'>haber — to have (auxiliary — used with a participle) · nosotros</span>","presente-indicativo irregular en-es"
"<b>habéis</b><br><i>Presente de indicativo</i>","<b>you all have</b><br><span style='font-size:85%'>haber — to have (auxiliary — used with a participle) · vosotros</span>","presente-indicativo irregular es-en"
"<b>you all have</b><br><span style='font-size:80%'>[auxiliary — used with a participle]</span><br><i>Presente de indicativo</i>","<b>habéis</b><br><span style='font-size:85%'>haber — to have (auxiliary — used with a participle) · vosotros</span>","presente-indicativo irregular en-es"
"<b>han</b><br><i>Presente de indicativo</i>","<b>they have</b><br><span style='font-size:85%'>haber — to have (auxiliary — used with a participle) · ellos/ellas/ustedes</span>","presente-indicativo irregular es-en"
"<b>they have</b><br><span style='font-size:80%'>[auxiliary — used with a participle]</span><br><i>Presente de indicativo</i>","<b>han</b><br><span style='font-size:85%'>haber — to have (auxiliary — used with a participle) · ellos/ellas/ustedes</span>","presente-indicativo irregular en-es"
"<b>tengo</b><br><i>Presente de indicativo</i>","<b>I have</b><br><span style='font-size:85%'>tener — to have (possess) · yo</span>","presente-indicativo irregular es-en"
"<b>I have</b><br><span style='font-size:80%'>[possess]</span><br><i>Presente de indicativo</i>","<b>tengo</b><br><span style='font-size:85%'>tener — to have (possess) · yo</span>","presente-indicativo irregular en-es"
"<b>tienes</b><br><i>Presente de indicativo</i>","<b>you have</b><br><span style='font-size:85%'>tener — to have (possess) · tú</span>","presente-indicativo irregular es-en"
"<b>you have</b><br><span style='font-size:80%'>[possess]</span><br><i>Presente de indicativo</i>","<b>tienes</b><br><span style='font-size:85%'>tener — to have (possess) · tú</span>","presente-indicativo irregular en-es"
"<b>tiene</b><br><i>Presente de indicativo</i>","<b>he/she has</b><br><span style='font-size:85%'>tener — to have (possess) · él/ella/usted</span>","presente-indicativo irregular es-en"
"<b>he/she has</b><br><span style='font-size:80%'>[possess]</span><br><i>Presente de indicativo</i>","<b>tiene</b><br><span style='font-size:85%'>tener — to have (possess) · él/ella/usted</span>","presente-indicativo irregular en-es"
"<b>tenemos</b><br><i>Presente de indicativo</i>","<b>we have</b><br><span style='font-size:85%'>tener — to have (possess) · nosotros</span>","presente-indicativo irregular es-en"
"<b>we have</b><br><span style='font-size:80%'>[possess]</span><br><i>Presente de indicativo</i>","<b>tenemos</b><br><span style='font-size:85%'>tener — to have (possess) · nosotros</span>","presente-indicativo irregular en-es"
"<b>tenéis</b><br><i>Presente de indicativo</i>","<b>you all have</b><br><span style='font-size:85%'>tener — to have (possess) · vosotros</span>","presente-indicativo irregular es-en"
"<b>you all have</b><br><span style='font-size:80%'>[possess]</span><br><i>Presente de indicativo</i>","<b>tenéis</b><br><span style='font-size:85%'>tener — to have (possess) · vosotros</span>","presente-indicativo irregular en-es"
"<b>tienen</b><br><i>Presente de indicativo</i>","<b>they have</b><br><span style='font-size:85%'>tener — to have (possess) · ellos/ellas/ustedes</span>","presente-indicativo irregular es-en"
"<b>they have</b><br><span style='font-size:80%'>[possess]</span><br><i>Presente de indicativo</i>","<b>tienen</b><br><span style='font-size:85%'>tener — to have (possess) · ellos/ellas/ustedes</span>","presente-indicativo irregular en-es"
"<b>sé</b><br><i>Presente de indicativo</i>","<b>I know</b><br><span style='font-size:85%'>saber — to know (a fact) · yo</span>","presente-indicativo irregular es-en"
"<b>I know</b><br><span style='font-size:80%'>[a fact]</span><br><i>Presente de indicativo</i>","<b>sé</b><br><span style='font-size:85%'>saber — to know (a fact) · yo</span>","presente-indicativo irregular en-es"
"<b>sabes</b><br><i>Presente de indicativo</i>","<b>you know</b><br><span style='font-size:85%'>saber — to know (a fact) · tú</span>","presente-indicativo irregular es-en"
"<b>you know</b><br><span style='font-size:80%'>[a fact]</span><br><i>Presente de indicativo</i>","<b>sabes</b><br><span style='font-size:85%'>saber — to know (a fact) · tú</span>","presente-indicativo irregular en-es"
"<b>sabe</b><br><i>Presente de indicativo</i>","<b>he/she knows</b><br><span style='font-size:85%'>saber — to know (a fact) · él/ella/usted</span>","presente-indicativo irregular es-en"
"<b>he/she knows</b><br><span style='font-size:80%'>[a fact]</span><br><i>Presente de indicativo</i>","<b>sabe</b><br><span style='font-size:85%'>saber — to know (a fact) · él/ella/usted</span>","presente-indicativo irregular en-es"
"<b>sabemos</b><br><i>Presente de indicativo</i>","<b>we know</b><br><span style='font-size:85%'>saber — to know (a fact) · nosotros</span>","presente-indicativo irregular es-en"
"<b>we know</b><br><span style='font-size:80%'>[a fact]</span><br><i>Presente de indicativo</i>","<b>sabemos</b><br><span style='font-size:85%'>saber — to know (a fact) · nosotros</span>","presente-indicativo irregular en-es"
"<b>sabéis</b><br><i>Presente de indicativo</i>","<b>you all know</b><br><span style='font-size:85%'>saber — to know (a fact) · vosotros</span>","presente-indicativo irregular es-en"
"<b>you all know</b><br><span style='font-size:80%'>[a fact]</span><br><i>Presente de indicativo</i>","<b>sabéis</b><br><span style='font-size:85%'>saber — to know (a fact) · vosotros</span>","presente-indicativo irregular en-es"
"<b>saben</b><br><i>Presente de indicativo</i>","<b>they know</b><br><span style='font-size:85%'>saber — to know (a fact) · ellos/ellas/ustedes</span>","presente-indicativo irregular es-en"
"<b>they know</b><br><span style='font-size:80%'>[a fact]</span><br><i>Presente de indicativo</i>","<b>saben</b><br><span style='font-size:85%'>saber — to know (a fact) · ellos/ellas/ustedes</span>","presente-indicativo irregular en-es"
"<b>doy</b><br><i>Presente de indicativo</i>","<b>I give</b><br><span style='font-size:85%'>dar — to give · yo</span>","presente-indicativo irregular es-en"
"<b>I give</b><br><i>Presente de indicativo</i>","<b>doy</b><br><span style='font-size:85%'>dar — to give · yo</span>","presente-indicativo irregular en-es"
"<b>das</b><br><i>Presente de indicativo</i>","<b>you give</b><br><span style='font-size:85%'>dar — to give · tú</span>","presente-indicativo irregular es-en"
"<b>you give</b><br><i>Presente de indicativo</i>","<b>das</b><br><span style='font-size:85%'>dar — to give · tú</span>","presente-indicativo irregular en-es"
"<b>da</b><br><i>Presente de indicativo</i>","<b>he/she gives</b><br><span style='font-size:85%'>dar — to give · él/ella/usted</span>","presente-indicativo irregular es-en"
"<b>he/she gives</b><br><i>Presente de indicativo</i>","<b>da</b><br><span style='font-size:85%'>dar — to give · él/ella/usted</span>","presente-indicativo irregular en-es"
"<b>damos</b><br><i>Presente de indicativo</i>","<b>we give</b><br><span style='font-size:85%'>dar — to give · nosotros</span>","presente-indicativo irregular es-en"
"<b>we give</b><br><i>Presente de indicativo</i>","<b>damos</b><br><span style='font-size:85%'>dar — to give · nosotros</span>","presente-indicativo irregular en-es"
"<b>dais</b><br><i>Presente de indicativo</i>","<b>you all give</b><br><span style='font-size:85%'>dar — to give · vosotros</span>","presente-indicativo irregular es-en"
"<b>you all give</b><br><i>Presente de indicativo</i>","<b>dais</b><br><span style='font-size:85%'>dar — to give · vosotros</span>","presente-indicativo irregular en-es"
"<b>dan</b><br><i>Presente de indicativo</i>","<b>they give</b><br><span style='font-size:85%'>dar — to give · ellos/ellas/ustedes</span>","presente-indicativo irregular es-en"
"<b>they give</b><br><i>Presente de indicativo</i>","<b>dan</b><br><span style='font-size:85%'>dar — to give · ellos/ellas/ustedes</span>","presente-indicativo irregular en-es"
"<b>veo</b><br><i>Presente de indicativo</i>","<b>I see</b><br><span style='font-size:85%'>ver — to see · yo</span>","presente-indicativo irregular es-en"
"<b>I see</b><br><i>Presente de indicativo</i>","<b>veo</b><br><span style='font-size:85%'>ver — to see · yo</span>","presente-indicativo irregular en-es"
"<b>ves</b><br><i>Presente de indicativo</i>","<b>you see</b><br><span style='font-size:85%'>ver — to see · tú</span>","presente-indicativo irregular es-en"
"<b>you see</b><br><i>Presente de indicativo</i>","<b>ves</b><br><span style='font-size:85%'>ver — to see · tú</span>","presente-indicativo irregular en-es"
"<b>ve</b><br><i>Presente de indicativo</i>","<b>he/she sees</b><br><span style='font-size:85%'>ver — to see · él/ella/usted</span>","presente-indicativo irregular es-en"
"<b>he/she sees</b><br><i>Presente de indicativo</i>","<b>ve</b><br><span style='font-size:85%'>ver — to see · él/ella/usted</span>","presente-indicativo irregular en-es"
"<b>vemos</b><br><i>Presente de indicativo</i>","<b>we see</b><br><span style='font-size:85%'>ver — to see · nosotros</span>","presente-indicativo irregular es-en"
"<b>we see</b><br><i>Presente de indicativo</i>","<b>vemos</b><br><span style='font-size:85%'>ver — to see · nosotros</span>","presente-indicativo irregular en-es"
"<b>veis</b><br><i>Presente de indicativo</i>","<b>you all see</b><br><span style='font-size:85%'>ver — to see · vosotros</span>","presente-indicativo irregular es-en"
"<b>you all see</b><br><i>Presente de indicativo</i>","<b>veis</b><br><span style='font-size:85%'>ver — to see · vosotros</span>","presente-indicativo irregular en-es"
"<b>ven</b><br><i>Presente de indicativo</i>","<b>they see</b><br><span style='font-size:85%'>ver — to see · ellos/ellas/ustedes</span>","presente-indicativo irregular es-en"
"<b>they see</b><br><i>Presente de indicativo</i>","<b>ven</b><br><span style='font-size:85%'>ver — to see · ellos/ellas/ustedes</span>","presente-indicativo irregular en-es"
"<b>hago</b><br><i>Presente de indicativo</i>","<b>I do</b><br><span style='font-size:85%'>hacer — to do (do or make) · yo</span>","presente-indicativo irregular es-en"
"<b>I do</b><br><span style='font-size:80%'>[do or make]</span><br><i>Presente de indicativo</i>","<b>hago</b><br><span style='font-size:85%'>hacer — to do (do or make) · yo</span>","presente-indicativo irregular en-es"
"<b>haces</b><br><i>Presente de indicativo</i>","<b>you do</b><br><span style='font-size:85%'>hacer — to do (do or make) · tú</span>","presente-indicativo irregular es-en"
"<b>you do</b><br><span style='font-size:80%'>[do or make]</span><br><i>Presente de indicativo</i>","<b>haces</b><br><span style='font-size:85%'>hacer — to do (do or make) · tú</span>","presente-indicativo irregular en-es"
"<b>hace</b><br><i>Presente de indicativo</i>","<b>he/she does</b><br><span style='font-size:85%'>hacer — to do (do or make) · él/ella/usted</span>","presente-indicativo irregular es-en"
"<b>he/she does</b><br><span style='font-size:80%'>[do or make]</span><br><i>Presente de indicativo</i>","<b>hace</b><br><span style='font-size:85%'>hacer — to do (do or make) · él/ella/usted</span>","presente-indicativo irregular en-es"
"<b>hacemos</b><br><i>Presente de indicativo</i>","<b>we do</b><br><span style='font-size:85%'>hacer — to do (do or make) · nosotros</span>","presente-indicativo irregular es-en"
"<b>we do</b><br><span style='font-size:80%'>[do or make]</span><br><i>Presente de indicativo</i>","<b>hacemos</b><br><span style='font-size:85%'>hacer — to do (do or make) · nosotros</span>","presente-indicativo irregular en-es"
"<b>hacéis</b><br><i>Presente de indicativo</i>","<b>you all do</b><br><span style='font-size:85%'>hacer — to do (do or make) · vosotros</span>","presente-indicativo irregular es-en"
"<b>you all do</b><br><span style='font-size:80%'>[do or make]</span><br><i>Presente de indicativo</i>","<b>hacéis</b><br><span style='font-size:85%'>hacer — to do (do or make) · vosotros</span>","presente-indicativo irregular en-es"
"<b>hacen</b><br><i>Presente de indicativo</i>","<b>they do</b><br><span style='font-size:85%'>hacer — to do (do or make) · ellos/ellas/ustedes</span>","presente-indicativo irregular es-en"
"<b>they do</b><br><span style='font-size:80%'>[do or make]</span><br><i>Presente de indicativo</i>","<b>hacen</b><br><span style='font-size:85%'>hacer — to do (do or make) · ellos/ellas/ustedes</span>","presente-indicativo irregular en-es"
"<b>digo</b><br><i>Presente de indicativo</i>","<b>I say</b><br><span style='font-size:85%'>decir — to say (say or tell) · yo</span>","presente-indicativo irregular es-en"
"<b>I say</b><br><span style='font-size:80%'>[say or tell]</span><br><i>Presente de indicativo</i>","<b>digo</b><br><span style='font-size:85%'>decir — to say (say or tell) · yo</span>","presente-indicativo irregular en-es"
"<b>dices</b><br><i>Presente de indicativo</i>","<b>you say</b><br><span style='font-size:85%'>decir — to say (say or tell) · tú</span>","presente-indicativo irregular es-en"
"<b>you say</b><br><span style='font-size:80%'>[say or tell]</span><br><i>Presente de indicativo</i>","<b>dices</b><br><span style='font-size:85%'>decir — to say (say or tell) · tú</span>","presente-indicativo irregular en-es"
"<b>dice</b><br><i>Presente de indicativo</i>","<b>he/she says</b><br><span style='font-size:85%'>decir — to say (say or tell) · él/ella/usted</span>","presente-indicativo irregular es-en"
"<b>he/she says</b><br><span style='font-size:80%'>[say or tell]</span><br><i>Presente de indicativo</i>","<b>dice</b><br><span style='font-size:85%'>decir — to say (say or tell) · él/ella/usted</span>","presente-indicativo irregular en-es"
"<b>decimos</b><br><i>Presente de indicativo</i>","<b>we say</b><br><span style='font-size:85%'>decir — to say (say or tell) · nosotros</span>","presente-indicativo irregular es-en"
"<b>we say</b><br><span style='font-size:80%'>[say or tell]</span><br><i>Presente de indicativo</i>","<b>decimos</b><br><span style='font-size:85%'>decir — to say (say or tell) · nosotros</span>","presente-indicativo irregular en-es"
"<b>decís</b><br><i>Presente de indicativo</i>","<b>you all say</b><br><span style='font-size:85%'>decir — to say (say or tell) · vosotros</span>","presente-indicativo irregular es-en"
"<b>you all say</b><br><span style='font-size:80%'>[say or tell]</span><br><i>Presente de indicativo</i>","<b>decís</b><br><span style='font-size:85%'>decir — to say (say or tell) · vosotros</span>","presente-indicativo irregular en-es"
"<b>dicen</b><br><i>Presente de indicativo</i>","<b>they say</b><br><span style='font-size:85%'>decir — to say (say or tell) · ellos/ellas/ustedes</span>","presente-indicativo irregular es-en"
"<b>they say</b><br><span style='font-size:80%'>[say or tell]</span><br><i>Presente de indicativo</i>","<b>dicen</b><br><span style='font-size:85%'>decir — to say (say or tell) · ellos/ellas/ustedes</span>","presente-indicativo irregular en-es"
"<b>vengo</b><br><i>Presente de indicativo</i>","<b>I come</b><br><span style='font-size:85%'>venir — to come · yo</span>","presente-indicativo irregular es-en"
